scientific_name;mentions;article_cnt;Kingdom;Class;Order;Family;Genus;Species;country;iso3
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Iran, Islamic Republic of;IRN
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Kazakhstan;KAZ
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Malaysia;MYS
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Nepal;NPL
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Pakistan;PAK
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Sri Lanka;LKA
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;United Kingdom;GBR
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;United States;USA
Achillides chikae chikae;1;1;;;;;;;Australia;AUS
Achillides chikae chikae;1;1;;;;;;;Belgium;BEL
Achillides chikae chikae;1;1;;;;;;;Cameroon;CMR
Achillides chikae chikae;1;1;;;;;;;Ecuador;ECU
Achillides chikae chikae;1;1;;;;;;;Japan;JPN
Achillides chikae chikae;1;1;;;;;;;Jersey;JEY
Achillides chikae chikae;1;1;;;;;;;Malaysia;MYS
Achillides chikae chikae;1;1;;;;;;;Philippines;PHL
Achillides chikae chikae;1;1;;;;;;;Slovenia;SVN
Achillides chikae chikae;1;1;;;;;;;Tanzania, United Republic of;TZA
Achillides chikae chikae;1;1;;;;;;;United States;USA
Acinonyx jubatus;5;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;India;IND
Acinonyx jubatus;5;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Iran, Islamic Republic of;IRN
Acinonyx jubatus;5;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;South Africa;ZAF
Acinonyx jubatus;5;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;United States;USA
Acinonyx jubatus;4;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Namibia;NAM
Acinonyx jubatus;2;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;China;CHN
Acinonyx jubatus;2;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Egypt;EGY
Acinonyx jubatus;2;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Jersey;JEY
Acinonyx jubatus;2;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;United Kingdom;GBR
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Afghanistan;AFG
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Algeria;DZA
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Central African Republic;CAF
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Congo, The Democratic Republic of the;COD
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Ethiopia;ETH
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;France;FRA
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Gabon;GAB
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Georgia;GEO
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Iraq;IRQ
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Israel;ISR
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Jordan;JOR
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Kazakhstan;KAZ
