scientific_name;Countries;Countries
Balaenoptera musculus;Chile;6
Balaenoptera musculus;Canada;5
Balaenoptera musculus;Australia;3
Balaenoptera musculus;China;3
Balaenoptera musculus;France;3
Balaenoptera musculus;Russia;3
Balaenoptera musculus;Spain;3
Balaenoptera musculus;Italy;2
Balaenoptera musculus;Mexico;2
Balaenoptera musculus;Costa Rica;1
Balaenoptera musculus;Germany;1
Balaenoptera musculus;Greece;1
Balaenoptera musculus;Kazakhstan;1
Balaenoptera musculus;Netherlands;1
Balaenoptera musculus;South Africa;1
Balaenoptera omurai;Thailand;58
Balaenoptera omurai;Indonesia;9
Balaenoptera omurai;New Zealand;6
Balaenoptera omurai;Australia;4
Balaenoptera omurai;China;4
Balaenoptera omurai;Singapore;4
Balaenoptera omurai;Philippines;3
Balaenoptera omurai;Cambodia;2
Balaenoptera omurai;Ecuador;2
Balaenoptera omurai;Honduras;2
Balaenoptera omurai;Laos;2
Balaenoptera omurai;Madagascar;2
Balaenoptera omurai;Myanmar;2
Balaenoptera omurai;South Africa;2
Balaenoptera omurai;Bhutan;1
Balaenoptera omurai;Brazil;1
Balaenoptera omurai;France;1
Balaenoptera omurai;Gabon;1
Balaenoptera omurai;India;1
Balaenoptera omurai;Mexico;1
Balaenoptera omurai;Solomon Islands;1
Balaenoptera physalus;Iceland;30
Balaenoptera physalus;Japan;26
Balaenoptera physalus;Norway;9
Balaenoptera physalus;France;8
Balaenoptera physalus;New Zealand;8
Balaenoptera physalus;Australia;6
Balaenoptera physalus;China;4
Balaenoptera physalus;Germany;4
Balaenoptera physalus;Spain;3
Balaenoptera physalus;Belgium;2
Balaenoptera physalus;Georgia;2
Balaenoptera physalus;India;2
Balaenoptera physalus;Italy;2
Balaenoptera physalus;Mexico;2
Balaenoptera physalus;Peru;2
Balaenoptera physalus;Senegal;2
Balaenoptera physalus;Serbia;2
Balaenoptera physalus;South Africa;2
Balaenoptera physalus;Thailand;2
Balaenoptera physalus;Argentina;1
Balaenoptera physalus;Cambodia;1
Balaenoptera physalus;Canada;1
Balaenoptera physalus;Denmark;1
Balaenoptera physalus;Greece;1
Balaenoptera physalus;Israel;1
Balaenoptera physalus;Monaco;1
Balaenoptera physalus;Turkey;1
Berardius arnuxii;New Zealand;3
Berardius arnuxii;Japan;2
Berardius arnuxii;Australia;1
Berardius arnuxii;Poland;1
Berardius bairdii;Japan;86
Berardius bairdii;Australia;11
Berardius bairdii;India;5
Berardius bairdii;China;4
Berardius bairdii;Colombia;4
Berardius bairdii;Mexico;4
Berardius bairdii;Costa Rica;2
Berardius bairdii;France;2
Berardius bairdii;Iceland;2
Berardius bairdii;Malaysia;2
Berardius bairdii;New Zealand;2
Berardius bairdii;Norway;2
Berardius bairdii;Russia;2
Berardius bairdii;Argentina;1
Berardius bairdii;Bangladesh;1
Berardius bairdii;Brazil;1
Berardius bairdii;Cambodia;1
Berardius bairdii;Canada;1
Berardius bairdii;Guyana;1
Berardius bairdii;Indonesia;1
Berardius bairdii;Laos;1
Berardius bairdii;Madagascar;1
Berardius bairdii;Myanmar;1
Berardius bairdii;Nepal;1
Berardius bairdii;Netherlands;1
Berardius bairdii;Pakistan;1
Berardius bairdii;Papua New Guinea;1
Berardius bairdii;Philippines;1
Berardius bairdii;Thailand;1
Berardius bairdii;Uzbekistan;1
Berardius bairdii;Vietnam;1
Canis lupus;Mexico;23
Canis lupus;Canada;17
Canis lupus;Singapore;15
Canis lupus;France;14
Canis lupus;Australia;13
Canis lupus;India;12
Canis lupus;Italy;10
Canis lupus;China;9
Canis lupus;Colombia;8
Canis lupus;Bangladesh;6
Canis lupus;United States;5
Canis lupus;Brazil;4
Canis lupus;Guatemala;4
Canis lupus;Poland;4
Canis lupus;Spain;4
Canis lupus;Greenland;3
Canis lupus;Indonesia;3
Canis lupus;Japan;3
Canis lupus;Kenya;3
Canis lupus;Lebanon;3
Canis lupus;Thailand;3
Canis lupus;Belgium;2
Canis lupus;Denmark;2
Canis lupus;Egypt;2
Canis lupus;Estonia;2
Canis lupus;Germany;2
Canis lupus;Ireland;2
Canis lupus;Israel;2
Canis lupus;Latvia;2
Canis lupus;Malaysia;2
Canis lupus;New Zealand;2
Canis lupus;Nigeria;2
