scientific_name;iso3;iso3
Ailurus fulgens;GBR;4
Ailurus fulgens;LAO;3
Ailurus fulgens;AUS;2
Ailurus fulgens;BRA;2
Ailurus fulgens;CAN;2
Ailurus fulgens;DEU;2
Ailurus fulgens;PHL;2
Ailurus fulgens;RUS;2
Ailurus fulgens;BGD;1
Ailurus fulgens;ESP;1
Ailurus fulgens;IDN;1
Ailurus fulgens;IRL;1
Ailurus fulgens;MEX;1
Ailurus fulgens;MYS;1
Ailurus fulgens;TZA;1
Ailurus fulgens;VNM;1
Alligator sinensis;CHN;25
Alligator sinensis;VNM;4
Alligator sinensis;AUS;3
Alligator sinensis;IDN;3
Alligator sinensis;IND;3
Alligator sinensis;SGP;3
Alligator sinensis;USA;3
Alligator sinensis;GBR;2
Alligator sinensis;AUT;1
Alligator sinensis;BRA;1
Alligator sinensis;BRN;1
Alligator sinensis;BWA;1
Alligator sinensis;CHL;1
Alligator sinensis;COL;1
Alligator sinensis;ETH;1
Alligator sinensis;FRA;1
Alligator sinensis;GEO;1
Alligator sinensis;ITA;1
Alligator sinensis;JAM;1
Alligator sinensis;JPN;1
Alligator sinensis;KEN;1
Alligator sinensis;LAO;1
Alligator sinensis;LKA;1
Alligator sinensis;MDG;1
Alligator sinensis;MEX;1
Alligator sinensis;MMR;1
Alligator sinensis;NZL;1
Alligator sinensis;PER;1
Alligator sinensis;PHL;1
Alligator sinensis;RUS;1
Allocebus trichotis;CHN;2
Allocebus trichotis;LAO;2
Allocebus trichotis;MDG;2
Allocebus trichotis;NZL;2
Allocebus trichotis;VNM;2
Allocebus trichotis;BOL;1
Allocebus trichotis;IDN;1
Allocebus trichotis;KHM;1
Allocebus trichotis;TZA;1
Aloe pillansii;GBR;1
Aloe pillansii;KHM;1
Aloe pillansii;LAO;1
Aloe pillansii;MDG;1
Aloe pillansii;NZL;1
Aloe pillansii;SDN;1
Aloe pillansii;USA;1
Aloe polyphylla;ZAF;2
Aloe polyphylla;CHE;1
Aloe polyphylla;COG;1
Aloe polyphylla;FRA;1
Aloe polyphylla;GBR;1
Aloe polyphylla;JPN;1
Aloe polyphylla;LKA;1
Aloe polyphylla;MEX;1
Aloe polyphylla;MYS;1
Aloe polyphylla;PRT;1
Aloe polyphylla;THA;1
Aloe polyphylla;USA;1
Alouatta palliata;CRI;14
Alouatta palliata;MEX;6
Alouatta palliata;USA;5
Alouatta palliata;CAN;2
Alouatta palliata;COL;2
Alouatta palliata;GBR;2
Alouatta palliata;IDN;2
Alouatta palliata;NZL;2
Alouatta palliata;PER;2
Alouatta palliata;AUS;1
Alouatta palliata;BGR;1
Alouatta palliata;BLZ;1
Alouatta palliata;BRA;1
Alouatta palliata;BWA;1
Alouatta palliata;CHN;1
Alouatta palliata;ESP;1
Alouatta palliata;FRA;1
Alouatta palliata;GRC;1
Alouatta palliata;IND;1
Alouatta palliata;JAM;1
Alouatta palliata;KEN;1
Alouatta palliata;LKA;1
Alouatta palliata;MDG;1
Alouatta palliata;MYS;1
Alouatta palliata;NOR;1
Alouatta palliata;THA;1
Alouatta palliata;TZA;1
Alouatta palliata;VNM;1
Alouatta palliata;ZAF;1
Alouatta pigra;MEX;3
Alouatta pigra;AUS;1
Alouatta pigra;BLZ;1
Alouatta pigra;BRA;1
Alouatta pigra;COL;1
Alouatta pigra;IDN;1
Alouatta pigra;JPN;1
Alouatta pigra;LKA;1
Alouatta pigra;MDG;1
Alouatta pigra;NZL;1
Alouatta pigra;PHL;1
Altiphrynoides osgoodi;USA;1
Amazona arausiaca;BLZ;1
Amazona arausiaca;CRI;1
Amazona arausiaca;JPN;1
Amazona arausiaca;USA;1
Amazona auropalliata;AUS;3
Amazona auropalliata;CRI;3
Amazona auropalliata;MEX;3
Amazona auropalliata;SGP;3
Amazona auropalliata;USA;3
Amazona auropalliata;IND;2
Amazona auropalliata;BLZ;1
Amazona auropalliata;CHN;1
Amazona auropalliata;GBR;1
Amazona auropalliata;GIN;1
Amazona auropalliata;IDN;1
Amazona auropalliata;JAM;1
Amazona auropalliata;MDG;1
Amazona auropalliata;MYS;1
Amazona auropalliata;NLD;1
Amazona auropalliata;THA;1
Amazona auropalliata;TUR;1
Amazona barbadensis;ARG;3
Amazona barbadensis;BGR;2
Amazona barbadensis;COL;2
Amazona barbadensis;CRI;2
Amazona barbadensis;GHA;2
Amazona barbadensis;IDN;2
Amazona barbadensis;MDG;2
Amazona barbadensis;USA;2
