scientific_name;Countries;Countries
Acipenser brevirostrum;('Canada', 'CAN');5
Acipenser brevirostrum;('China', 'CHN');2
Acipenser brevirostrum;('Jersey', 'JEY');2
Acipenser brevirostrum;('Brazil', 'BRA');1
Acipenser brevirostrum;('Puerto Rico', 'PRI');1
Acipenser brevirostrum;('Russian Federation', 'RUS');1
Acipenser sturio;('United States', 'USA');19
Acipenser sturio;('United Kingdom', 'GBR');9
Acipenser sturio;('Canada', 'CAN');8
Acipenser sturio;('France', 'FRA');6
Acipenser sturio;('Russian Federation', 'RUS');6
Acipenser sturio;('Jersey', 'JEY');5
Acipenser sturio;('China', 'CHN');4
Acipenser sturio;('Germany', 'DEU');4
Acipenser sturio;('Iran, Islamic Republic of', 'IRN');4
Acipenser sturio;('Romania', 'ROU');4
Acipenser sturio;('Bulgaria', 'BGR');3
Acipenser sturio;('Netherlands', 'NLD');3
Acipenser sturio;('Spain', 'ESP');3
Acipenser sturio;('Georgia', 'GEO');2
Acipenser sturio;('Japan', 'JPN');2
Acipenser sturio;('Poland', 'POL');2
Acipenser sturio;('Serbia', 'SRB');2
Acipenser sturio;('Azerbaijan', 'AZE');1
Acipenser sturio;('Bahamas', 'BHS');1
Acipenser sturio;('Congo', 'COG');1
Acipenser sturio;('Croatia', 'HRV');1
Acipenser sturio;('Czechia', 'CZE');1
Acipenser sturio;('Estonia', 'EST');1
Acipenser sturio;('Finland', 'FIN');1
Acipenser sturio;('Greece', 'GRC');1
Acipenser sturio;('Hungary', 'HUN');1
Acipenser sturio;('India', 'IND');1
Acipenser sturio;('Indonesia', 'IDN');1
Acipenser sturio;('Israel', 'ISR');1
Acipenser sturio;('Italy', 'ITA');1
Acipenser sturio;('Kazakhstan', 'KAZ');1
Acipenser sturio;('Latvia', 'LVA');1
Acipenser sturio;('Maldives', 'MDV');1
Acipenser sturio;('Norway', 'NOR');1
Acipenser sturio;('Sweden', 'SWE');1
Acipenser sturio;('Thailand', 'THA');1
Acipenser sturio;('Turkmenistan', 'TKM');1
Acipenser sturio;('Ukraine', 'UKR');1
Acrantophis dumerili;('Honduras', 'HND');1
Acrantophis dumerili;('Madagascar', 'MDG');1
Acrantophis dumerili;('Malaysia', 'MYS');1
Acrantophis dumerili;('Philippines', 'PHL');1
Acrantophis dumerili;('Viet Nam', 'VNM');1
Addax nasomaculatus;('Chad', 'TCD');5
Addax nasomaculatus;('China', 'CHN');4
Addax nasomaculatus;('Libya', 'LBY');4
Addax nasomaculatus;('Niger', 'NER');4
Addax nasomaculatus;('Nigeria', 'NGA');3
Addax nasomaculatus;('Tunisia', 'TUN');3
Addax nasomaculatus;('Australia', 'AUS');2
Addax nasomaculatus;('France', 'FRA');2
Addax nasomaculatus;('Kenya', 'KEN');2
Addax nasomaculatus;('Mauritania', 'MRT');2
Addax nasomaculatus;('Morocco', 'MAR');2
Addax nasomaculatus;('New Zealand', 'NZL');2
Addax nasomaculatus;('Russian Federation', 'RUS');2
Addax nasomaculatus;('Rwanda', 'RWA');2
Addax nasomaculatus;('Sudan', 'SDN');2
Addax nasomaculatus;('Uzbekistan', 'UZB');2
Addax nasomaculatus;('Algeria', 'DZA');1
Addax nasomaculatus;('Belgium', 'BEL');1
Addax nasomaculatus;('Botswana', 'BWA');1
Addax nasomaculatus;('Congo, The Democratic Republic of the', 'COD');1
Addax nasomaculatus;('Egypt', 'EGY');1
Addax nasomaculatus;('Gabon', 'GAB');1
Addax nasomaculatus;('Hungary', 'HUN');1
Addax nasomaculatus;('India', 'IND');1
Addax nasomaculatus;('Iran, Islamic Republic of', 'IRN');1
Addax nasomaculatus;('Japan', 'JPN');1
Addax nasomaculatus;('Kazakhstan', 'KAZ');1
Addax nasomaculatus;('Mexico', 'MEX');1
Addax nasomaculatus;('Namibia', 'NAM');1
Addax nasomaculatus;('Sierra Leone', 'SLE');1
Addax nasomaculatus;('South Africa', 'ZAF');1
Addax nasomaculatus;('Spain', 'ESP');1
Addax nasomaculatus;('United Arab Emirates', 'ARE');1
Addax nasomaculatus;('United Kingdom', 'GBR');1
Addax nasomaculatus;('United States', 'USA');1
Addax nasomaculatus;('Zimbabwe', 'ZWE');1
Ailuropoda melanoleuca;('China', 'CHN');24
Ailuropoda melanoleuca;('United States', 'USA');9
Ailuropoda melanoleuca;('India', 'IND');3
Ailuropoda melanoleuca;('Australia', 'AUS');2
Ailuropoda melanoleuca;('Hong Kong', 'HKG');2
Ailuropoda melanoleuca;('Myanmar', 'MMR');2
Ailuropoda melanoleuca;('Bhutan', 'BTN');1
Ailuropoda melanoleuca;('Brazil', 'BRA');1
Ailuropoda melanoleuca;('Canada', 'CAN');1
Ailuropoda melanoleuca;('France', 'FRA');1
Ailuropoda melanoleuca;('Japan', 'JPN');1
Ailuropoda melanoleuca;('Korea, Republic of', 'KOR');1
Ailuropoda melanoleuca;"(""Lao People's Democratic Republic"", 'LAO')";1
Ailuropoda melanoleuca;('Luxembourg', 'LUX');1
Ailuropoda melanoleuca;('Nepal', 'NPL');1
Ailuropoda melanoleuca;('Netherlands', 'NLD');1
Ailuropoda melanoleuca;('Russian Federation', 'RUS');1
Ailuropoda melanoleuca;('Taiwan, Province of China', 'TWN');1
Ailuropoda melanoleuca;('Viet Nam', 'VNM');1
Ailurus fulgens;('China', 'CHN');30
Ailurus fulgens;('Nepal', 'NPL');23
Ailurus fulgens;('India', 'IND');18
Ailurus fulgens;('Myanmar', 'MMR');18
Ailurus fulgens;('Bhutan', 'BTN');15
Ailurus fulgens;('United States', 'USA');7
Ailurus fulgens;('France', 'FRA');5
Ailurus fulgens;('United Kingdom', 'GBR');4
Ailurus fulgens;"(""Lao People's Democratic Republic"", 'LAO')";3
Ailurus fulgens;('Australia', 'AUS');2
