scientific_name;Countries;Countries
Alouatta palliata;costa rica;26
Alouatta palliata;colombia;17
Alouatta palliata;mexico;14
Alouatta palliata;nicaragua;13
Alouatta palliata;panama;12
Alouatta palliata;guatemala;5
Alouatta palliata;ecuador;4
Alouatta palliata;new zealand;4
Alouatta palliata;honduras;3
Alouatta palliata;brazil;2
Alouatta palliata;peru;2
Alouatta palliata;france;1
Alouatta palliata;greece;1
Alouatta palliata;india;1
Alouatta palliata;indonesia;1
Alouatta palliata;jamaica;1
Alouatta palliata;kenya;1
Alouatta palliata;south africa;1
Alouatta palliata;thailand;1
Alouatta pigra;guatemala;4
Alouatta pigra;brazil;2
Alouatta pigra;indonesia;2
Alouatta pigra;malaysia;2
Alouatta pigra;japan;1
Alouatta pigra;macao;1
Alouatta pigra;mexico;1
Alouatta pigra;new zealand;1
Amazona arausiaca;dominica;1
Amazona arausiaca;japan;1
Amazona auropalliata;costa rica;14
Amazona auropalliata;nicaragua;13
Amazona auropalliata;el salvador;9
Amazona auropalliata;honduras;9
Amazona auropalliata;singapore;7
Amazona auropalliata;mexico;6
Amazona auropalliata;guatemala;3
Amazona auropalliata;india;3
Amazona auropalliata;australia;2
Amazona auropalliata;china;1
Amazona auropalliata;macao;1
Amazona auropalliata;netherlands;1
Amazona auropalliata;panama;1
Amazona auropalliata;venezuela;1
Amazona barbadensis;venezuela;16
Amazona barbadensis;colombia;4
Amazona barbadensis;argentina;3
Amazona barbadensis;aruba;2
Amazona barbadensis;brazil;2
Amazona barbadensis;costa rica;2
Amazona barbadensis;ghana;2
Amazona barbadensis;guyana;2
Amazona barbadensis;indonesia;2
Amazona barbadensis;ecuador;1
Amazona barbadensis;puerto rico;1
Amazona finschi;mexico;4
Amazona finschi;india;1
Amazona guildingii;dominica;2
Amazona guildingii;greece;2
Amazona guildingii;australia;1
Amazona guildingii;china;1
Amazona guildingii;cuba;1
Amazona guildingii;germany;1
Amazona guildingii;italy;1
Amazona guildingii;malaysia;1
Amazona guildingii;palau;1
Amazona guildingii;venezuela;1
Amazona guildingii;vietnam;1
Amazona imperialis;germany;2
Amazona imperialis;cuba;1
Amazona imperialis;puerto rico;1
Amazona leucocephala;india;5
Amazona leucocephala;australia;4
Amazona leucocephala;bahamas;1
Amazona leucocephala;brazil;1
Amazona leucocephala;kenya;1
Amazona leucocephala;myanmar;1
Amazona leucocephala;panama;1
Amazona leucocephala;puerto rico;1
Amazona leucocephala;south africa;1
Amazona oratrix;australia;2
Amazona oratrix;mexico;2
Amazona oratrix;canada;1
Amazona oratrix;china;1
Amazona oratrix;mongolia;1
Amazona oratrix;new zealand;1
Amazona oratrix;senegal;1
Amazona oratrix;taiwan;1
Amazona oratrix;turkey;1
Amazona pretrei;india;7
Amazona pretrei;brazil;6
Amazona pretrei;china;4
Amazona pretrei;new zealand;2
Amazona pretrei;australia;1
Amazona pretrei;france;1
Amazona pretrei;venezuela;1
Amazona rhodocorytha;lebanon;4
Amazona rhodocorytha;indonesia;2
Amazona rhodocorytha;kenya;2
Amazona rhodocorytha;malaysia;2
Amazona rhodocorytha;tanzania;1
Amazona versicolor;indonesia;1
Amazona versicolor;uganda;1
Amazona vinacea;brazil;15
Amazona vinacea;qatar;2
Amazona vinacea;austria;1
Amazona vinacea;spain;1
Amazona viridigenalis;brazil;11
Amazona viridigenalis;mexico;11
Amazona viridigenalis;china;3
Amazona viridigenalis;colombia;3
Amazona viridigenalis;australia;2
Amazona viridigenalis;canada;2
Amazona viridigenalis;kenya;1
Amazona viridigenalis;puerto rico;1
Amazona viridigenalis;tanzania;1
Amazona vittata;puerto rico;11
Amazona vittata;south africa;3
Amazona vittata;australia;2
Amazona vittata;greece;2
Amazona vittata;japan;2
Amazona vittata;new zealand;2
Amazona vittata;peru;2
Amazona vittata;bahamas;1
Amazona vittata;bolivia;1
Amazona vittata;canada;1
Amazona vittata;cuba;1
Amazona vittata;egypt;1
Amazona vittata;indonesia;1
Amazona vittata;mexico;1
Amazona vittata;romania;1
Amazona vittata;switzerland;1
Anas aucklandica;new zealand;75
Anas aucklandica;canada;1
Anas aucklandica;japan;1
Anas aucklandica;russia;1
Anas aucklandica;taiwan;1
Anas laysanensis;france;2
Anas laysanensis;canada;1
Anas laysanensis;colombia;1
Anas laysanensis;ecuador;1
Anas laysanensis;indonesia;1
Anas laysanensis;japan;1
Anas laysanensis;peru;1
Anas laysanensis;switzerland;1
Anas laysanensis;tanzania;1
Anas laysanensis;venezuela;1
Anas nesiotis;new zealand;14
Anas nesiotis;georgia;3
Anas nesiotis;canada;1
Anas nesiotis;norway;1
Anas nesiotis;russia;1
Andrias davidianus;china;65
Andrias davidianus;japan;9
Andrias davidianus;vietnam;3
Andrias davidianus;france;2
Andrias davidianus;bolivia;1
Andrias davidianus;cambodia;1
Andrias davidianus;canada;1
Andrias davidianus;hong kong;1
Andrias davidianus;malaysia;1
Andrias davidianus;mexico;1
Andrias davidianus;peru;1
Andrias davidianus;taiwan;1
Andrias japonicus;japan;27
Andrias japonicus;netherlands;2
Andrias japonicus;china;1
Andrias japonicus;egypt;1
Andrias japonicus;haiti;1
Andrias japonicus;iran;1
Andrias japonicus;united states;1
Anodorhynchus glaucus;brazil;37
Anodorhynchus glaucus;singapore;17
Anodorhynchus glaucus;colombia;3
Anodorhynchus glaucus;venezuela;3
Anodorhynchus glaucus;bolivia;2
Anodorhynchus glaucus;peru;2
Anodorhynchus glaucus;puerto rico;2
Anodorhynchus glaucus;qatar;2
Anodorhynchus glaucus;russia;2
Anodorhynchus glaucus;argentina;1
Anodorhynchus glaucus;austria;1
Anodorhynchus glaucus;botswana;1
Anodorhynchus glaucus;china;1
Anodorhynchus glaucus;india;1
Anodorhynchus glaucus;kenya;1
Anodorhynchus glaucus;paraguay;1
Anodorhynchus glaucus;saudi arabia;1
Anodorhynchus glaucus;turkey;1
Anodorhynchus hyacinthinus;bolivia;43
Anodorhynchus hyacinthinus;brazil;26
Anodorhynchus hyacinthinus;costa rica;5
Anodorhynchus hyacinthinus;peru;5
Anodorhynchus hyacinthinus;canada;4
Anodorhynchus hyacinthinus;singapore;4
Anodorhynchus hyacinthinus;bangladesh;2
Anodorhynchus hyacinthinus;ecuador;2
Anodorhynchus hyacinthinus;argentina;1
Anodorhynchus hyacinthinus;china;1
Anodorhynchus hyacinthinus;colombia;1
Anodorhynchus hyacinthinus;honduras;1
Anodorhynchus hyacinthinus;macao;1
Anodorhynchus hyacinthinus;mexico;1
Anodorhynchus hyacinthinus;nicaragua;1
Anodorhynchus hyacinthinus;panama;1
Anodorhynchus hyacinthinus;venezuela;1
Anodorhynchus leari;brazil;88
Anodorhynchus leari;mexico;14
Anodorhynchus leari;china;13
Anodorhynchus leari;guyana;11
Anodorhynchus leari;bolivia;8
Anodorhynchus leari;colombia;8
Anodorhynchus leari;ecuador;6
Anodorhynchus leari;south africa;6
Anodorhynchus leari;costa rica;4
Anodorhynchus leari;peru;4
Anodorhynchus leari;argentina;3
Anodorhynchus leari;bahamas;3
Anodorhynchus leari;france;3
Anodorhynchus leari;hong kong;3
Anodorhynchus leari;malaysia;3
Anodorhynchus leari;venezuela;3
Anodorhynchus leari;bangladesh;2
Anodorhynchus leari;cuba;2
Anodorhynchus leari;el salvador;2
Anodorhynchus leari;guatemala;2
Anodorhynchus leari;haiti;2
Anodorhynchus leari;honduras;2
Anodorhynchus leari;japan;2
Anodorhynchus leari;netherlands;2
Anodorhynchus leari;panama;2
Anodorhynchus leari;portugal;2
Anodorhynchus leari;qatar;2
Anodorhynchus leari;russia;2
Anodorhynchus leari;switzerland;2
Anodorhynchus leari;vietnam;2
Anodorhynchus leari;australia;1
Anodorhynchus leari;cambodia;1
Anodorhynchus leari;cameroon;1
Anodorhynchus leari;ethiopia;1
Anodorhynchus leari;germany;1
Anodorhynchus leari;indonesia;1
Anodorhynchus leari;italy;1
Anodorhynchus leari;jamaica;1
Anodorhynchus leari;kenya;1
Anodorhynchus leari;mauritius;1
Anodorhynchus leari;morocco;1
Anodorhynchus leari;nicaragua;1
Anodorhynchus leari;nigeria;1
Anodorhynchus leari;pakistan;1
Anodorhynchus leari;paraguay;1
Anodorhynchus leari;somalia;1
Anodorhynchus leari;spain;1
Anodorhynchus leari;tanzania;1
Anodorhynchus leari;thailand;1
Anodorhynchus leari;uganda;1
Anodorhynchus leari;uruguay;1
Anodorhynchus leari;zambia;1
Anoxypristis cuspidata;costa rica;18
Anoxypristis cuspidata;bangladesh;12
Anoxypristis cuspidata;australia;10
Anoxypristis cuspidata;malaysia;6
Anoxypristis cuspidata;canada;5
Anoxypristis cuspidata;nicaragua;4
Anoxypristis cuspidata;china;3
Anoxypristis cuspidata;morocco;2
Anoxypristis cuspidata;honduras;1
Anoxypristis cuspidata;india;1
Anoxypristis cuspidata;iran;1
Anoxypristis cuspidata;mauritania;1
