scientific_name;iso3;mentions_country;article_cnt
Ailuropoda melanoleuca;CAN;1;33
Ailuropoda melanoleuca;FRA;1;33
Ailuropoda melanoleuca;JPN;1;33
Ailuropoda melanoleuca;KOR;1;33
Ailuropoda melanoleuca;LAO;1;33
Ailuropoda melanoleuca;LUX;1;33
Ailuropoda melanoleuca;NLD;1;33
Ailuropoda melanoleuca;NPL;1;33
Ailuropoda melanoleuca;RUS;1;33
Ailuropoda melanoleuca;SRB;1;33
Ailuropoda melanoleuca;TWN;1;33
Ailuropoda melanoleuca;VNM;1;33
Ailurus fulgens;CHN;30;52
Ailurus fulgens;NPL;23;52
Ailurus fulgens;IND;18;52
Ailurus fulgens;MMR;17;52
Ailurus fulgens;BTN;15;52
Ailurus fulgens;USA;6;52
Ailurus fulgens;FRA;5;52
Ailurus fulgens;GBR;4;52
Ailurus fulgens;LAO;3;52
Ailurus fulgens;AUS;2;52
Ailurus fulgens;BRA;2;52
Ailurus fulgens;CAN;2;52
Ailurus fulgens;DEU;2;52
Ailurus fulgens;PHL;2;52
Ailurus fulgens;RUS;2;52
Ailurus fulgens;BGD;1;52
Ailurus fulgens;ESP;1;52
Ailurus fulgens;IDN;1;52
Ailurus fulgens;IRL;1;52
Ailurus fulgens;MEX;1;52
Ailurus fulgens;MYS;1;52
Ailurus fulgens;TZA;1;52
Ailurus fulgens;VNM;1;52
Alligator sinensis;CHN;25;39
Alligator sinensis;VNM;4;39
Alligator sinensis;AUS;3;39
Alligator sinensis;IDN;3;39
Alligator sinensis;IND;3;39
Alligator sinensis;SGP;3;39
Alligator sinensis;USA;3;39
Alligator sinensis;GBR;2;39
Alligator sinensis;AUT;1;39
Alligator sinensis;BRA;1;39
Alligator sinensis;BRN;1;39
Alligator sinensis;BWA;1;39
Alligator sinensis;CHL;1;39
Alligator sinensis;COL;1;39
Alligator sinensis;ETH;1;39
Alligator sinensis;FRA;1;39
Alligator sinensis;GEO;1;39
Alligator sinensis;ITA;1;39
Alligator sinensis;JAM;1;39
Alligator sinensis;JPN;1;39
Alligator sinensis;KEN;1;39
Alligator sinensis;LAO;1;39
Alligator sinensis;LKA;1;39
Alligator sinensis;MDG;1;39
Alligator sinensis;MEX;1;39
Alligator sinensis;MMR;1;39
Alligator sinensis;NZL;1;39
Alligator sinensis;PER;1;39
Alligator sinensis;PHL;1;39
Alligator sinensis;RUS;1;39
Allocebus trichotis;CHN;2;3
Allocebus trichotis;LAO;2;3
Allocebus trichotis;MDG;2;3
Allocebus trichotis;NZL;2;3
Allocebus trichotis;VNM;2;3
Allocebus trichotis;BOL;1;3
Allocebus trichotis;IDN;1;3
Allocebus trichotis;KHM;1;3
Allocebus trichotis;TZA;1;3
Aloe pillansii;GBR;1;1
Aloe pillansii;KHM;1;1
Aloe pillansii;LAO;1;1
Aloe pillansii;MDG;1;1
Aloe pillansii;NZL;1;1
Aloe pillansii;SDN;1;1
Aloe pillansii;USA;1;1
Aloe polyphylla;ZAF;2;7
Aloe polyphylla;CHE;1;7
Aloe polyphylla;COG;1;7
Aloe polyphylla;FRA;1;7
Aloe polyphylla;GBR;1;7
Aloe polyphylla;JPN;1;7
Aloe polyphylla;LKA;1;7
Aloe polyphylla;MEX;1;7
Aloe polyphylla;MYS;1;7
Aloe polyphylla;PRT;1;7
Aloe polyphylla;THA;1;7
Aloe polyphylla;USA;1;7
Alouatta palliata;CRI;14;29
Alouatta palliata;MEX;6;29
Alouatta palliata;USA;5;29
Alouatta palliata;CAN;2;29
Alouatta palliata;COL;2;29
Alouatta palliata;GBR;2;29
Alouatta palliata;IDN;2;29
Alouatta palliata;NZL;2;29
Alouatta palliata;PER;2;29
Alouatta palliata;AUS;1;29
Alouatta palliata;BGR;1;29
Alouatta palliata;BLZ;1;29
Alouatta palliata;BRA;1;29
Alouatta palliata;BWA;1;29
Alouatta palliata;CHN;1;29
Alouatta palliata;ESP;1;29
Alouatta palliata;FRA;1;29
Alouatta palliata;GRC;1;29
Alouatta palliata;IND;1;29
Alouatta palliata;JAM;1;29
Alouatta palliata;KEN;1;29
Alouatta palliata;LKA;1;29
Alouatta palliata;MDG;1;29
Alouatta palliata;MYS;1;29
Alouatta palliata;NOR;1;29
Alouatta palliata;THA;1;29
Alouatta palliata;TZA;1;29
Alouatta palliata;VNM;1;29
Alouatta palliata;ZAF;1;29
Alouatta pigra;MEX;3;3
Alouatta pigra;AUS;1;3
Alouatta pigra;BLZ;1;3
Alouatta pigra;BRA;1;3
Alouatta pigra;COL;1;3
Alouatta pigra;IDN;1;3
Alouatta pigra;JPN;1;3
Alouatta pigra;LKA;1;3
Alouatta pigra;MDG;1;3
Alouatta pigra;NZL;1;3
Alouatta pigra;PHL;1;3
Altiphrynoides osgoodi;USA;1;1
Amazona arausiaca;BLZ;1;5
Amazona arausiaca;CRI;1;5
Amazona arausiaca;JPN;1;5
Amazona arausiaca;USA;1;5
Amazona auropalliata;AUS;3;21
Amazona auropalliata;CRI;3;21
Amazona auropalliata;MEX;3;21
Amazona auropalliata;SGP;3;21
Amazona auropalliata;USA;3;21
Amazona auropalliata;IND;2;21
Amazona auropalliata;BLZ;1;21
Amazona auropalliata;CHN;1;21
Amazona auropalliata;GBR;1;21
Amazona auropalliata;GIN;1;21
Amazona auropalliata;IDN;1;21
Amazona auropalliata;JAM;1;21
Amazona auropalliata;MDG;1;21
Amazona auropalliata;MYS;1;21
Amazona auropalliata;NLD;1;21
Amazona auropalliata;THA;1;21
Amazona auropalliata;TUR;1;21
Amazona barbadensis;ARG;3;6
Amazona barbadensis;BGR;2;6
Amazona barbadensis;COL;2;6
Amazona barbadensis;CRI;2;6
Amazona barbadensis;GHA;2;6
Amazona barbadensis;IDN;2;6
Amazona barbadensis;MDG;2;6
Amazona barbadensis;USA;2;6
Amazona barbadensis;BRA;1;6
Amazona barbadensis;CHE;1;6
Amazona barbadensis;GBR;1;6
Amazona barbadensis;PRI;1;6
Amazona brasiliensis;TUR;1;1
Amazona brasiliensis;USA;1;1
Amazona finschi;MEX;2;6
Amazona finschi;USA;2;6
Amazona finschi;IND;1;6
Amazona guildingii;AUS;2;8
Amazona guildingii;DEU;2;8
Amazona guildingii;BEL;1;8
Amazona guildingii;BRA;1;8
Amazona guildingii;BRB;1;8
Amazona guildingii;CHN;1;8
Amazona guildingii;CUB;1;8
Amazona guildingii;GBR;1;8
Amazona guildingii;GRC;1;8
Amazona guildingii;ITA;1;8
Amazona guildingii;MEX;1;8
Amazona guildingii;MYS;1;8
Amazona guildingii;PLW;1;8
Amazona guildingii;SVN;1;8
Amazona guildingii;VNM;1;8
Amazona imperialis;DEU;2;5
Amazona imperialis;USA;2;5
Amazona imperialis;AUS;1;5
Amazona imperialis;BRA;1;5
Amazona imperialis;CHE;1;5
Amazona imperialis;CUB;1;5
Amazona imperialis;DNK;1;5
Amazona imperialis;ESP;1;5
Amazona imperialis;GBR;1;5
Amazona imperialis;ISR;1;5
Amazona imperialis;MEX;1;5
Amazona imperialis;NLD;1;5
Amazona imperialis;PRI;1;5
Amazona imperialis;ZAF;1;5
Amazona leucocephala;IND;3;10
Amazona leucocephala;USA;2;10
Amazona leucocephala;AUS;1;10
Amazona leucocephala;BRA;1;10
Amazona leucocephala;BTN;1;10
Amazona leucocephala;CAN;1;10
Amazona leucocephala;ESP;1;10
Amazona leucocephala;GRC;1;10
Amazona leucocephala;IRN;1;10
Amazona leucocephala;JOR;1;10
Amazona leucocephala;MEX;1;10
Amazona leucocephala;MMR;1;10
Amazona leucocephala;PER;1;10
Amazona leucocephala;PRI;1;10
Amazona leucocephala;TZA;1;10
Amazona leucocephala;ZAF;1;10
Amazona oratrix;BLZ;4;26
Amazona oratrix;USA;4;26
Amazona oratrix;MEX;3;26
Amazona oratrix;AUS;2;26
Amazona oratrix;CAN;2;26
Amazona oratrix;NZL;2;26
Amazona oratrix;CHN;1;26
Amazona oratrix;GBR;1;26
Amazona oratrix;TUR;1;26
Amazona oratrix;TWN;1;26
Amazona pretrei;BRA;4;5
Amazona pretrei;CHN;3;5
Amazona pretrei;IND;3;5
Amazona pretrei;AUS;2;5
Amazona pretrei;CAN;2;5
Amazona pretrei;USA;2;5
Amazona pretrei;CRI;1;5
Amazona pretrei;DEU;1;5
Amazona pretrei;FRA;1;5
Amazona pretrei;GHA;1;5
Amazona pretrei;IDN;1;5
Amazona pretrei;JPN;1;5
Amazona pretrei;KAZ;1;5
Amazona pretrei;MEX;1;5
Amazona pretrei;MYS;1;5
Amazona pretrei;NZL;1;5
Amazona pretrei;POL;1;5
Amazona pretrei;RUS;1;5
Amazona pretrei;ZAF;1;5
Amazona rhodocorytha;BRA;1;1
Amazona rhodocorytha;BRN;1;1
Amazona rhodocorytha;IDN;1;1
Amazona rhodocorytha;ISL;1;1
Amazona rhodocorytha;KEN;1;1
Amazona rhodocorytha;LBN;1;1
Amazona rhodocorytha;MYS;1;1
Amazona rhodocorytha;PER;1;1
Amazona rhodocorytha;TZA;1;1
Amazona rhodocorytha;USA;1;1
Amazona versicolor;IDN;1;5
Amazona versicolor;PHL;1;5
Amazona vinacea;BRA;2;2
Amazona vinacea;AUT;1;2
Amazona vinacea;DEU;1;2
Amazona vinacea;ESP;1;2
Amazona viridigenalis;MEX;13;21
Amazona viridigenalis;USA;6;21
Amazona viridigenalis;AUS;3;21
Amazona viridigenalis;CHN;2;21
Amazona viridigenalis;COL;2;21
Amazona viridigenalis;PER;2;21
Amazona viridigenalis;BRA;1;21
Amazona viridigenalis;CAN;1;21
Amazona viridigenalis;GBR;1;21
Amazona viridigenalis;IND;1;21
Amazona viridigenalis;KEN;1;21
Amazona viridigenalis;MDG;1;21
Amazona viridigenalis;PRI;1;21
Amazona viridigenalis;TZA;1;21
Amazona vittata;PRI;11;20
Amazona vittata;USA;11;20
Amazona vittata;AUS;2;20
Amazona vittata;PER;2;20
Amazona vittata;BOL;1;20
Amazona vittata;CAN;1;20
Amazona vittata;CHE;1;20
Amazona vittata;CRI;1;20
Amazona vittata;CUB;1;20
Amazona vittata;GBR;1;20
Amazona vittata;GRC;1;20
Amazona vittata;IDN;1;20
Amazona vittata;JPN;1;20
Amazona vittata;MEX;1;20
Amazona vittata;NZL;1;20
Amazona vittata;ROU;1;20
Amazona vittata;SAU;1;20
Amazona vittata;ZAF;1;20
Anas aucklandica;NZL;12;26
Anas aucklandica;CAN;1;26
Anas aucklandica;GBR;1;26
Anas aucklandica;JPN;1;26
Anas aucklandica;RUS;1;26
Anas aucklandica;TWN;1;26
Anas aucklandica;USA;1;26
Anas laysanensis;USA;7;14
Anas laysanensis;GBR;2;14
Anas laysanensis;AUS;1;14
Anas laysanensis;CAN;1;14
Anas laysanensis;CHE;1;14
Anas laysanensis;COL;1;14
Anas laysanensis;CUB;1;14
Anas laysanensis;FRA;1;14
Anas laysanensis;IDN;1;14
Anas laysanensis;JPN;1;14
Anas laysanensis;PER;1;14
Anas laysanensis;TZA;1;14
Anas laysanensis;VNM;1;14
Anas nesiotis;NZL;3;7
Anas nesiotis;CAN;2;7
Anas nesiotis;AUS;1;7
Anas nesiotis;CHN;1;7
Anas nesiotis;PRK;1;7
Anas nesiotis;RUS;1;7
Anas nesiotis;USA;1;7
Andrias davidianus;CHN;25;38
Andrias davidianus;GBR;11;38
Andrias davidianus;USA;8;38
Andrias davidianus;JPN;7;38
Andrias davidianus;DEU;5;38
Andrias davidianus;VNM;5;38
Andrias davidianus;CMR;3;38
Andrias davidianus;FRA;3;38
Andrias davidianus;LAO;3;38
Andrias davidianus;CAN;2;38
Andrias davidianus;KHM;2;38
Andrias davidianus;MDG;2;38
Andrias davidianus;MEX;2;38
Andrias davidianus;PER;2;38
Andrias davidianus;ARG;1;38
Andrias davidianus;AUS;1;38
Andrias davidianus;BOL;1;38
Andrias davidianus;BRA;1;38
Andrias davidianus;CIV;1;38
Andrias davidianus;COG;1;38
