,geometry,address,lat,lon,freq,name
99,POINT (34.8667654 31.5313113),ישראל,31.5313113,34.8667654,32,Israel
100,POINT (12.674297 42.6384261),Italia,42.6384261,12.674297,24,Italy
101,POINT (36.941628 31.1667049),الأردن,31.1667049,36.941628,22,Jordan
102,POINT (74.724091 41.5089324),Кыргызстан,41.5089324,74.724091,18,Kyrgyzstan
103,POINT (24.7537645 56.8406494),Latvija,56.8406494,24.7537645,10,Latvia
104,POINT (35.843409 33.8750629),لبنان,33.8750629,35.843409,21,Lebanon
105,POINT (9.5531527 47.1416307),Liechtenstein,47.1416307,9.5531527,3,Liechtenstein
106,POINT (23.7499997 55.3500003),Lietuva,55.3500003,23.7499997,8,Lithuania
107,POINT (6.1296751 49.8158683),Lëtzebuerg,49.8158683,6.1296751,4,Luxembourg
108,POINT (19.5180992 42.9868853),Crna Gora / Црна Гора,42.9868853,19.5180992,12,Montenegro
109,POINT (-7.3362482 31.1728205),Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482,33,Morocco
110,POINT (5.3214503 52.2288689),Nederland,52.2288689,5.3214503,18,Netherlands
111,POINT (21.7168387 41.6171214),Северна Македонија,41.6171214,21.7168387,9,North Macedonia
112,POINT (9.099971500000001 60.5000209),Norge,60.5000209,9.0999715,18,Norway
113,POINT (19.134422 52.215933),Polska,52.215933,19.134422,15,Poland
114,POINT (-7.8896263 40.0332629),Portugal,40.0332629,-7.8896263,29,Portugal
115,POINT (127.6961188 36.638392),대한민국,36.638392,127.6961188,34,Republic of Korea
116,POINT (28.5670941 47.2879608),Moldova,47.2879608,28.5670941,7,Republic of Moldova
117,POINT (24.6859225 45.9852129),România,45.9852129,24.6859225,12,Romania
118,POINT (20.55144 44.1534121),Србија,44.1534121,20.55144,10,Serbia
119,POINT (19.4528646 48.7411522),Slovensko,48.7411522,19.4528646,10,Slovakia
120,POINT (14.4808369 45.8133113),Slovenija,45.8133113,14.4808369,12,Slovenia
121,POINT (-4.8379791 39.3260685),España,39.3260685,-4.8379791,27,Spain
122,POINT (80.71378470000001 7.5554942),ශ්‍රී ලංකාව இலங்கை,7.5554942,80.7137847,34,Sri Lanka
123,POINT (14.5208584 59.6749712),Sverige,59.6749712,14.5208584,12,Sweden
124,POINT (8.2319736 46.7985624),Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736,9,Switzerland
125,POINT (39.0494106 34.6401861),سوريا,34.6401861,39.0494106,23,Syrian Arab Republic
126,POINT (70.8156541 38.6281733),Тоҷикистон,38.6281733,70.8156541,20,Tajikistan
127,POINT (9.400138 33.8439408),تونس,33.8439408,9.400138,23,Tunisia
128,POINT (34.9249653 38.9597594),Türkiye,38.9597594,34.9249653,25,Turkey
129,POINT (59.3924609 39.3763807),Türkmenistan,39.3763807,59.3924609,20,Turkmenistan
130,POINT (31.2718321 49.4871968),Україна,49.4871968,31.2718321,13,Ukraine
131,POINT (-3.2765753 54.7023545),United Kingdom,54.7023545,-3.2765753,17,United Kingdom of Great Britain and Northern Ireland
132,POINT (63.9528098 41.32373),Oʻzbekiston,41.32373,63.9528098,21,Uzbekistan
133,POINT (-13.892143025 24.16819605),"الصحراء الغربية, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",24.16819605,-13.892143025000001,19,Western Sahara
134,POINT (103.8194992 1.357107),Singapore,1.357107,103.8194992,27,Singapore
135,POINT (33.1451285 34.9823018),Κύπρος - Kıbrıs,34.9823018,33.1451285,12,Cyprus
136,POINT (29.2675469 26.2540493),مصر,26.2540493,29.2675469,35,Egypt
137,POINT (47.4979476 29.2733964),الكويت,29.2733964,47.4979476,20,Kuwait
138,POINT (53.9994829 24.0002488),الإمارات العربية المتحدة,24.0002488,53.9994829,21,United Arab Emirates
139,POINT (18.1236723 26.8234472),ليبيا,26.8234472,18.1236723,21,Libya
140,POINT (42.3528328 25.6242618),السعودية,25.6242618,42.3528328,25,Saudi Arabia
141,POINT (47.8915271 16.3471243),اليمن,16.3471243,47.8915271,23,Yemen
142,POINT (-75.0458515 -6.8699697),Perú,-6.8699697,-75.0458515,54,Peru
143,POINT (125.8375756 -8.5151979),Timór Lorosa'e / Timor-Leste,-8.5151979,125.8375756,4,Timor-Leste
144,POINT (134.755 -24.7761086),Australia,-24.7761086,134.755,56,Australia
145,POINT (-107.991707 61.0666922),Canada,61.0666922,-107.991707,30,Canada
146,POINT (-64.9912286 -17.0568696),Bolivia,-17.0568696,-64.9912286,37,Bolivia (Plurinational State of)
147,POINT (-58.1693445 -23.3165935),Paraguay,-23.3165935,-58.1693445,29,Paraguay
148,POINT (-56.0201525 -32.8755548),Uruguay,-32.8755548,-56.0201525,30,Uruguay
149,POINT (-18.1059013 64.9841821),Ísland,64.9841821,-18.1059013,15,Iceland
150,POINT (-85.2936911 12.6090157),Nicaragua,12.6090157,-85.2936911,29,Nicaragua
151,POINT (-52.999998 4.0039882),"Guyane, France",4.0039882,-52.999998,24,French Guiana
152,POINT (-58.6416891 4.8417097),Guyana,4.8417097,-58.6416891,31,Guyana
153,POINT (-86.0755145 15.2572432),Honduras,15.2572432,-86.0755145,35,Honduras
154,POINT (-56.0771187 4.1413025),Suriname,4.1413025,-56.0771187,29,Suriname
155,POINT (-60.9821067 10.8677845),Trinidad and Tobago,10.8677845,-60.9821067,19,Trinidad and Tobago
156,POINT (-170.692511 -14.289304),"American Samoa, United States",-14.289304,-170.692511,7,American Samoa
157,POINT (-63.0750234 18.1954947),Anguilla,18.1954947,-63.0750234,6,Anguilla 
158,POINT (-61.9554608 17.2234721),Antigua and Barbuda,17.2234721,-61.9554608,7,Antigua and Barbuda
159,POINT (-69.98186415210564 12.51756625),"Aruba, Nederland",12.51756625,-69.98186415210564,6,Aruba
160,POINT (-78.00005470000001 24.7736546),The Bahamas,24.7736546,-78.0000547,15,Bahamas
161,POINT (50.5344606 26.1551249),البحرين,26.1551249,50.5344606,12,Bahrain
162,POINT (-59.5250305 13.1500331),Barbados,13.1500331,-59.5250305,8,Barbados
163,POINT (-88.7600927 16.8259793),Belize,16.8259793,-88.7600927,26,Belize
164,POINT (-64.7561647 32.30382),Bermuda,32.30382,-64.7561647,10,Bermuda 
165,POINT (72.00648804312836 -5.349626649999999),British Indian Ocean Territory,-5.349626649999999,72.00648804312836,2,British Indian Ocean Territory 
166,POINT (-64.5661642 18.4024395),British Virgin Islands,18.4024395,-64.5661642,8,British Virgin Islands 
167,POINT (-24.0083947 16.0000552),Cabo Verde,16.0000552,-24.0083947,13,Cabo Verde
168,POINT (-79.91746272432459 19.70318225),Cayman Islands,19.703182249999998,-79.9174627243246,9,Cayman Islands 
169,POINT (44.2832964 -12.2045176),Comores Komori جزر القمر,-12.2045176,44.2832964,21,Comoros
