scientific_name;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution;views;hits_renew
Chlamydotis macqueenii;835.0;34;38600;0;Animalia;Aves;Gruiformes;Otididae;Chlamydotis;macqueenii;I;Afghanistan,Azerbaijan,Bahrain,Belgium,China,Cyprus,Czech Republic,Denmark,Egypt,Finland,France,Germany,Greece,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kyrgyzstan,Latvia,Lebanon,Mongolia,Netherlands,Oman,Pakistan,Poland,Qatar,Romania,Russian Federation,Saudi Arabia,Slovakia,Slovenia,Sudan,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Turkmenistan,Ukraine,United Arab Emirates,Uzbekistan,Yemen;Armenia,Kuwait;52437;35200
Lemur catta;828.0;20;366000;1;Animalia;Mammalia;Primates;Lemuridae;Lemur;catta;I;Madagascar;;860088;1120000
Alouatta palliata;827.0;23;143000;1;Animalia;Mammalia;Primates;Atelidae;Alouatta;palliata;I;Colombia,Costa Rica,Ecuador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Peru;El Salvador;110582;148000
Cyanoramphus novaezelandiae;816.0;5;37600;0;Animalia;Aves;Psittaciformes;Psittacidae;Cyanoramphus;novaezelandiae;I;Australia,New Zealand;;56210;40400
Saguinus leucopus;813.0;3;21600;0;Animalia;Mammalia;Primates;Cebidae;Saguinus;leucopus;I;Colombia;;14747;298000
Hylobates moloch;808.0;27;76800;0;Animalia;Mammalia;Primates;Hylobatidae;Hylobates;moloch;I;Indonesia;;53659;369000
Anodorhynchus glaucus;784.0;15;16400;0;Animalia;Aves;Psittaciformes;Psittacidae;Anodorhynchus;glaucus;I;Argentina,Brazil;Paraguay,Uruguay;161913;21600
Ornithoptera alexandrae;778.0;8;32000;0;Animalia;Insecta;Lepidoptera;Papilionidae;Ornithoptera;alexandrae;I;Papua New Guinea;;286312;41100
Nipponia nippon;772.0;21;117000;1;Animalia;Aves;Ciconiiformes;Threskiornithidae;Nipponia;nippon;I;China,Republic of Korea;Democratic People's Republic of Korea,Japan,Russian Federation,Taiwan, Province of China;152260;119000
Amazona vinacea;768.0;2;29400;0;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vinacea;I;Argentina,Brazil,Paraguay;;15272;32300
Pitta gurneyi;753.0;10;8990;0;Animalia;Aves;Passeriformes;Pittidae;Pitta;gurneyi;I;Myanmar,Thailand;;15787;9610
Nycticebus pygmaeus;740.0;28;24700;0;Animalia;Mammalia;Primates;Lorisidae;Nycticebus;pygmaeus;I;China,Lao People's Democratic Republic,Viet Nam;;99200;297000
Moschus chrysogaster;739.0;17;22100;0;Animalia;Mammalia;Artiodactyla;Moschidae;Moschus;chrysogaster;I/II;Bhutan,China,India,Nepal;;48040;24600
Carduelis cucullata;711.0;14;29200;0;Animalia;Aves;Passeriformes;Fringillidae;Carduelis;cucullata;I;Colombia,Guyana,Venezuela (Bolivarian Republic of);Trinidad and Tobago;39040;28400
Fregata andrewsi;710.0;11;19500;0;Animalia;Aves;Pelecaniformes;Fregatidae;Fregata;andrewsi;I;Australia,Brunei Darussalam,China,Christmas Island,Cocos (Keeling) Islands,Hong Kong, SAR,India,Indonesia,Japan,Kenya,Malaysia,Singapore,Sri Lanka,Thailand,Timor-Leste,Viet Nam;;35671;19000
Andrias davidianus;679.0;27;60700;0;Animalia;Amphibia;Caudata;Cryptobranchidae;Andrias;davidianus;I;China;;689645;72300
Eulemur collaris;678.0;2;10200;0;Animalia;Mammalia;Primates;Lemuridae;Eulemur;collaris;I;Madagascar;;21944;11200
Rhynchopsitta pachyrhyncha;672.0;11;14800;0;Animalia;Aves;Psittaciformes;Psittacidae;Rhynchopsitta;pachyrhyncha;I;Mexico;;120905;18400
Propithecus diadema;658.0;10;30400;0;Animalia;Mammalia;Primates;Indriidae;Propithecus;diadema;I;Madagascar;;56152;36100
Bettongia tropica;650.0;8;15700;0;Animalia;Mammalia;Diprotodontia;Potoroidae;Bettongia;tropica;I;Australia;;21988;25600
Eulemur albifrons;644.0;4;10900;0;Animalia;Mammalia;Primates;Lemuridae;Eulemur;albifrons;I;Madagascar;;19035;10500
Plethobasus cooperianus;634.0;5;6030;0;Animalia;Bivalvia;Unionoida;Unionidae;Plethobasus;cooperianus;I;United States of America;;1040;5680
Buceros bicornis;618.0;48;80400;0;Animalia;Aves;Coraciiformes;Bucerotidae;Buceros;bicornis;I;Bangladesh,Bhutan,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Singapore,Thailand,Viet Nam;;572724;85300
Heteroglaux blewitti;605.0;21;8380;0;Animalia;Aves;Strigiformes;Strigidae;Heteroglaux;blewitti;I;India;;161070;8710
Lepilemur ankaranensis;596.0;1;3090;0;Animalia;Mammalia;Primates;Lepilemuridae;Lepilemur;ankaranensis;I;Madagascar;;7475;3350
Dama dama mesopotamica;574.0;42;23200;0;Animalia;Mammalia;Artiodactyla;Cervidae;Dama;dama;I;Iran (Islamic Republic of),Iraq;Israel,Jordan,Lebanon;127689;22200
Psammobates geometricus;567.0;18;12400;0;Animalia;Reptilia;Testudines;Testudinidae;Psammobates;geometricus;I;South Africa;;33322;11600
Saguinus oedipus;559.0;24;113000;1;Animalia;Mammalia;Primates;Cebidae;Saguinus;oedipus;I;Colombia,Panama;;232714;388000
Callithrix aurita;555.0;2;26500;0;Animalia;Mammalia;Primates;Cebidae;Callithrix;aurita;I;Brazil;;30045;27600
Varecia rubra;554.0;19;40300;0;Animalia;Mammalia;Primates;Lemuridae;Varecia;rubra;I;Madagascar;;103531;38900
Trichechus inunguis;550.0;14;48900;0;Animalia;Mammalia;Sirenia;Trichechidae;Trichechus;inunguis;I;Brazil,Colombia,Ecuador,Guyana,Peru,Venezuela (Bolivarian Republic of);;265822;52000
Anas aucklandica;525.0;24;12100;0;Animalia;Aves;Anseriformes;Anatidae;Anas;aucklandica;I;New Caledonia,New Zealand;;20323;12700
Crocodylus siamensis;523.0;26;77800;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;siamensis;I;Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Thailand,Viet Nam;;250709;98300
Naemorhedus goral;523.0;15;23100;0;Animalia;Mammalia;Artiodactyla;Bovidae;Naemorhedus;goral;I;Bhutan,China,India,Nepal,Pakistan;;93837;21100
Piliocolobus rufomitratus;508.0;3;6860;0;Animalia;Mammalia;Primates;Cercopithecidae;Piliocolobus;rufomitratus;I;Kenya;;15928;6980
Numenius tenuirostris;500.0;7;51800;0;Animalia;Aves;Charadriiformes;Scolopacidae;Numenius;tenuirostris;I;Albania,Algeria,Austria,Azerbaijan,Belgium,Bosnia and Herzegovina,Bulgaria,Canada,Croatia,Cyprus,Czech Republic,Egypt,France,Georgia,Germany,Greece,Hungary,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Malta,Montenegro,Morocco,Netherlands,Oman,Poland,Portugal,Romania,Russian Federation,Serbia,Slovakia,Slovenia,Spain,Switzerland,Tunisia,Turkey,Turkmenistan,Ukraine,Uzbekistan,Yemen;;58316;53500
Lygodactylus williamsi;495.0;3;39700;0;Animalia;Reptilia;Sauria;Gekkonidae;Lygodactylus;williamsi;I;United Republic of Tanzania;;53748;59500
Crocodylus moreletii;494.0;16;55200;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;moreletii;I/II;Belize,Guatemala,Mexico;;174682;68600
Paphiopedilum insigne;491.0;1;41900;0;Plantae;;Orchidales;Orchidaceae;Paphiopedilum;insigne;I;China,India,Nepal,Thailand;;11173;38500
Amazona finschi;490.0;6;22800;0;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;finschi;I;Mexico;;36096;36100
Ara militaris;486.0;18;117000;1;Animalia;Aves;Psittaciformes;Psittacidae;Ara;militaris;I;Bolivia (Plurinational State of),Colombia,Ecuador,Mexico,Peru,Venezuela (Bolivarian Republic of);Argentina,Guatemala;188554;159000
Tomistoma schlegelii;479.0;38;57900;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Tomistoma;schlegelii;I;Indonesia,Malaysia;Thailand;350523;47100
Prolemur simus;479.0;22;33400;0;Animalia;Mammalia;Primates;Lemuridae;Prolemur;simus;I;Madagascar;;54078;32600
Scleropages formosus;478.0;56;110000;1;Animalia;Actinopteri;Osteoglossiformes;Osteoglossidae;Scleropages;formosus;I;Cambodia,Indonesia,Malaysia,Thailand,Viet Nam;;506807;96300
Stangeria eriopus;476.0;23;14300;0;Plantae;;Cycadales;Stangeriaceae;Stangeria;eriopus;I;Eswatini,Mozambique,South Africa;;13816;15800
Lophophorus impejanus;465.0;29;46800;0;Animalia;Aves;Galliformes;Phasianidae;Lophophorus;impejanus;I;Afghanistan,Bhutan,China,India,Myanmar,Nepal,Pakistan;;333207;41300
Ozotoceros bezoarticus;451.0;11;59400;0;Animalia;Mammalia;Artiodactyla;Cervidae;Ozotoceros;bezoarticus;I;Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Uruguay;;84695;74100
Araucaria araucana;448.0;24;311000;1;Plantae;;Pinales;Araucariaceae;Araucaria;araucana;I;Argentina,Chile;;884780;330000
Rucervus duvaucelii;442.0;35;27200;0;Animalia;Mammalia;Artiodactyla;Cervidae;Rucervus;duvaucelii;I;Bhutan,India,Nepal;Bangladesh,Pakistan;474039;23600
Oreonax flavicauda;442.0;11;23600;0;Animalia;Mammalia;Primates;Atelidae;Oreonax;flavicauda;I;Brazil,Peru;;60892;23800
Grus japonensis;438.0;18;154000;1;Animalia;Aves;Gruiformes;Gruidae;Grus;japonensis;I;China,Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Russian Federation,Taiwan, Province of China;;521651;159000
Bettongia gaimardi;438.0;25;15100;0;Animalia;Mammalia;Diprotodontia;Potoroidae;Bettongia;gaimardi;I;Australia;;43245;15100
Geronticus eremita;425.0;26;95700;0;Animalia;Aves;Ciconiiformes;Threskiornithidae;Geronticus;eremita;I;Algeria,Cabo Verde,Eritrea,Ethiopia,Germany,Israel,Mali,Mauritania,Morocco,Portugal,Saudi Arabia,Somalia,Spain,Sudan [prior to secession of South Sudan],Syrian Arab Republic,Western Sahara,Yemen;Egypt,Greece,Senegal;163512;83600
Daubentonia madagascariensis;423.0;16;89500;0;Animalia;Mammalia;Primates;Daubentoniidae;Daubentonia;madagascariensis;I;Madagascar;;1436869;98500
Asarcornis scutulata;417.0;19;28400;0;Animalia;Aves;Anseriformes;Anatidae;Asarcornis;scutulata;I;Bangladesh,Cambodia,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Thailand,Viet Nam;;70139;25800
Blastocerus dichotomus;405.0;20;63100;0;Animalia;Mammalia;Artiodactyla;Cervidae;Blastocerus;dichotomus;I;Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Peru;Uruguay;105849;60900
Mandrillus sphinx;404.0;17;146000;1;Animalia;Mammalia;Primates;Cercopithecidae;Mandrillus;sphinx;I;Cameroon,Congo,Equatorial Guinea,Gabon;;2127809;448000
Cervus elaphus hanglu;402.0;41;8910;0;Animalia;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;I;India;Pakistan;348732;9600
Amazona leucocephala;399.0;9;35500;0;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;leucocephala;I;Bahamas,Cayman Islands (United Kingdom),Cuba;;64294;33700
Crocodylus rhombifer;390.0;13;42200;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;rhombifer;I;Cuba;;271344;46200
Caperea marginata;384.0;23;36900;0;Animalia;Mammalia;Cetacea;Neobalaenidae;Caperea;marginata;I;Argentina,Australia,Chile,Falkland Islands (Malvinas),French Southern and Antarctic Territories,Namibia,New Zealand,South Africa;;155826;36600
Macrocephalon maleo;376.0;9;37900;0;Animalia;Aves;Galliformes;Megapodiidae;Macrocephalon;maleo;I;Indonesia;;100943;41300
Callimico goeldii;367.0;23;50400;0;Animalia;Mammalia;Primates;Cebidae;Callimico;goeldii;I;Bolivia (Plurinational State of),Brazil,Colombia,Peru;;70223;328000
Houbaropsis bengalensis;366.0;15;29700;0;Animalia;Aves;Gruiformes;Otididae;Houbaropsis;bengalensis;I;India,Nepal,Viet Nam;Bangladesh;133034;26200
Cophotis ceylanica;347.0;3;4710;0;Animalia;Reptilia;Sauria;Agamidae;Cophotis;ceylanica;I;Sri Lanka;;6616;4340
Presbytis potenziani;343.0;10;10500;0;Animalia;Mammalia;Primates;Cercopithecidae;Presbytis;potenziani;I;Indonesia;;11491;10300
Avahi laniger;340.0;12;15900;0;Animalia;Mammalia;Primates;Indriidae;Avahi;laniger;I;Madagascar;;26037;17600
Andrias japonicus;333.0;11;42600;0;Animalia;Amphibia;Caudata;Cryptobranchidae;Andrias;japonicus;I;Japan;;457142;34600
Vipera ursinii;326.0;2;61700;0;Animalia;Reptilia;Serpentes;Viperidae;Vipera;ursinii;I;Albania,Armenia,Austria,Azerbaijan,Bosnia and Herzegovina,China,Croatia,France,Georgia,Greece,Hungary,Iran (Islamic Republic of),Italy,Kazakhstan,Kyrgyzstan,Montenegro,North Macedonia,Republic of Moldova,Romania,Russian Federation,Serbia,Slovakia,Slovenia,Turkey,Ukraine,Uzbekistan;Bulgaria;76085;66500
Romerolagus diazi;324.0;10;38600;0;Animalia;Mammalia;Lagomorpha;Leporidae;Romerolagus;diazi;I;Mexico;;131957;37000
Equus hemionus hemionus;324.0;5;12500;0;Animalia;Mammalia;Perissodactyla;Equidae;Equus;hemionus;I;China,Kazakhstan,Mongolia,Russian Federation;;155176;11000
Rhynochetos jubatus;323.0;5;25400;0;Animalia;Aves;Gruiformes;Rhynochetidae;Rhynochetos;jubatus;I;New Caledonia;;142704;25800
Hylobates pileatus;314.0;7;24000;0;Animalia;Mammalia;Primates;Hylobatidae;Hylobates;pileatus;I;Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam;;45993;281000
Pteropus mariannus;308.0;1;15700;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Pteropus;mariannus;I;Guam,Northern Mariana Islands;;52833;11900
Psittacula echo;308.0;3;7680;0;Animalia;Aves;Psittaciformes;Psittacidae;Psittacula;echo;I;Mauritius;;98889;7980
Tragopan blythii;299.0;16;13000;0;Animalia;Aves;Galliformes;Phasianidae;Tragopan;blythii;I;Bhutan,China,India,Myanmar;;62700;14700
Ciconia boyciana;294.0;9;66200;0;Animalia;Aves;Ciconiiformes;Ciconiidae;Ciconia;boyciana;I;Bangladesh,China,Democratic People's Republic of Korea,Hong Kong, SAR,India,Japan,Mongolia,Republic of Korea,Russian Federation,Taiwan, Province of China;;54195;57900
Bubalus depressicornis;293.0;12;39600;0;Animalia;Mammalia;Artiodactyla;Bovidae;Bubalus;depressicornis;I;Indonesia;;18428;36100
Cacatua moluccensis;280.0;28;62000;0;Animalia;Aves;Psittaciformes;Cacatuidae;Cacatua;moluccensis;I;Indonesia;;159826;56600
Leontopithecus chrysomelas;277.0;12;29200;0;Animalia;Mammalia;Primates;Cebidae;Leontopithecus;chrysomelas;I;Brazil;;58898;35200
Polyplectron napoleonis;277.0;7;13600;0;Animalia;Aves;Galliformes;Phasianidae;Polyplectron;napoleonis;I;Philippines;;78684;15500
Brachylophus fasciatus;276.0;2;28200;0;Animalia;Reptilia;Sauria;Iguanidae;Brachylophus;fasciatus;I;Fiji;;9787;29300
Muntiacus crinifrons;273.0;2;13300;0;Animalia;Mammalia;Artiodactyla;Cervidae;Muntiacus;crinifrons;I;China,Myanmar;;36540;13500
Amazona guildingii;265.0;7;21500;0;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;guildingii;I;Saint Vincent and the Grenadines;;30401;21300
Amazona barbadensis;264.0;5;23800;0;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;barbadensis;I;Aruba,Netherlands Antilles,Venezuela (Bolivarian Republic of);;30065;22000
Gazella cuvieri;260.0;8;26000;0;Animalia;Mammalia;Artiodactyla;Bovidae;Gazella;cuvieri;I;Algeria,Morocco,Tunisia,Western Sahara;;53128;25000
Grus monacha;255.0;8;36800;0;Animalia;Aves;Gruiformes;Gruidae;Grus;monacha;I;China,Democratic People's Republic of Korea,India,Japan,Kazakhstan,Mongolia,Republic of Korea,Russian Federation,Taiwan, Province of China;;43783;37200
Morenia ocellata;245.0;8;6010;0;Animalia;Reptilia;Testudines;Geoemydidae;Morenia;ocellata;I;Myanmar;;6707;6780
Varanus griseus;240.0;15;46300;0;Animalia;Reptilia;Sauria;Varanidae;Varanus;griseus;I;Algeria,Burkina Faso,Cameroon,Egypt,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Mali,Mauritania,Morocco,Niger,Oman,Pakistan,Qatar,Saudi Arabia,Sudan,Syrian Arab Republic,Tajikistan,Tunisia,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Western Sahara,Yemen;;80506;58700
Caprolagus hispidus;237.0;15;28700;0;Animalia;Mammalia;Lagomorpha;Leporidae;Caprolagus;hispidus;I;Bangladesh,Bhutan,India,Nepal;;121917;24200
Rhinopithecus roxellana;236.0;22;79700;0;Animalia;Mammalia;Primates;Cercopithecidae;Rhinopithecus;roxellana;I;China;;439695;68800
Amazona versicolor;232.0;4;17500;0;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;versicolor;I;Saint Lucia;;24943;21000
Hippocamelus bisulcus;226.0;8;39200;0;Animalia;Mammalia;Artiodactyla;Cervidae;Hippocamelus;bisulcus;I;Argentina,Chile;;106552;35800
Microcebus ravelobensis;223.0;2;10800;0;Animalia;Mammalia;Primates;Cheirogaleidae;Microcebus;ravelobensis;I;Madagascar;;10778;9700
Capricornis rubidus;219.0;3;5980;0;Animalia;Mammalia;Artiodactyla;Bovidae;Capricornis;rubidus;I;Myanmar;;35030;5540
Neophocaena phocaenoides;218.0;7;50800;0;Animalia;Mammalia;Cetacea;Phocoenidae;Neophocaena;phocaenoides;I;Bahrain,Bangladesh,Brunei Darussalam,Cambodia,China,Democratic People's Republic of Korea,Hong Kong, SAR,India,Indonesia,Iran (Islamic Republic of),Iraq,Kuwait,Malaysia,Myanmar,Pakistan,Qatar,Saudi Arabia,Singapore,Sri Lanka,Taiwan, Province of China,Thailand,United Arab Emirates,Viet Nam;;707;51400
Moschus fuscus;205.0;2;5100;0;Animalia;Mammalia;Artiodactyla;Moschidae;Moschus;fuscus;I/II;Bhutan,China,India,Myanmar,Nepal;;34927;4400
Hylobates klossii;202.0;1;10700;0;Animalia;Mammalia;Primates;Hylobatidae;Hylobates;klossii;I;Indonesia;;22316;266000
Rhyticeros subruficollis;176.0;4;6940;0;Animalia;Aves;Coraciiformes;Bucerotidae;Rhyticeros;subruficollis;I;Malaysia,Myanmar,Thailand;;12194;7400
Brachylophus vitiensis;173.0;11;12800;0;Animalia;Reptilia;Sauria;Iguanidae;Brachylophus;vitiensis;I;Fiji;;52911;12200
Cheirogaleus medius;168.0;12;25600;0;Animalia;Mammalia;Primates;Cheirogaleidae;Cheirogaleus;medius;I;Madagascar;;56313;23700
Chiropotes albinasus;167.0;2;9970;0;Animalia;Mammalia;Primates;Pitheciidae;Chiropotes;albinasus;I;Brazil;;9086;10600
Trachypithecus shortridgei;164.0;2;4930;0;Animalia;Mammalia;Primates;Cercopithecidae;Trachypithecus;shortridgei;I;China,Myanmar;;9552;4950
Encephalartos nubimontanus;156.0;1;9020;0;Plantae;;Cycadales;Zamiaceae;Encephalartos;nubimontanus;I;;South Africa;7059;10400
Sousa sahulensis;155.0;8;13200;0;Animalia;Mammalia;Cetacea;Delphinidae;Sousa;sahulensis;I;Australia,Indonesia,Papua New Guinea;;18514;11900
Psephotus dissimilis;154.0;1;13000;0;Animalia;Aves;Psittaciformes;Psittacidae;Psephotus;dissimilis;I;Australia;;20660;14000
Tyto soumagnei;153.0;6;13700;0;Animalia;Aves;Strigiformes;Tytonidae;Tyto;soumagnei;I;Madagascar;;128802;12900
Crocodylus intermedius;150.0;5;46500;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;intermedius;I;Colombia,Venezuela (Bolivarian Republic of);;327592;52100
Hylobates albibarbis;150.0;2;10100;0;Animalia;Mammalia;Primates;Hylobatidae;Hylobates;albibarbis;I;Indonesia;;29333;11300
Pygathrix cinerea;149.0;2;42000;0;Animalia;Mammalia;Primates;Cercopithecidae;Pygathrix;cinerea;I;Cambodia,Viet Nam;;28931;22500
Epicrates subflavus;146.0;7;11600;0;Animalia;Reptilia;Serpentes;Boidae;Epicrates;subflavus;I;Jamaica;;74206;10700
Dypsis decipiens;145.0;4;8000;0;Plantae;;Arecales;Palmae;Dypsis;decipiens;I;Madagascar;;4404;11300
Altiphrynoides osgoodi;142.0;1;814;0;Animalia;Amphibia;Anura;Bufonidae;Altiphrynoides;osgoodi;I;Ethiopia;;8041;1060
Lophophorus sclateri;142.0;2;10600;0;Animalia;Aves;Galliformes;Phasianidae;Lophophorus;sclateri;I;China,India,Myanmar;;19665;10600
Sminthopsis psammophila;141.0;3;9160;0;Animalia;Mammalia;Dasyuromorphia;Dasyuridae;Sminthopsis;psammophila;I;Australia;;10601;8820
Falco pelegrinoides;140.0;8;30300;0;Animalia;Aves;Falconiformes;Falconidae;Falco;pelegrinoides;I;Afghanistan,Algeria,Burkina Faso,Cameroon,China,Djibouti,Egypt,Eritrea,Ethiopia,Greece,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Libya,Mali,Malta,Morocco,Nepal,Niger,Nigeria,Oman,Pakistan,Portugal,Saudi Arabia,Senegal,Somalia,Spain,Sudan,Syrian Arab Republic,Tajikistan,Tunisia,Turkey,Turkmenistan,Uzbekistan,Yemen;;98885;30500
Eulemur mongoz;140.0;13;21200;0;Animalia;Mammalia;Primates;Lemuridae;Eulemur;mongoz;I;Comoros,Madagascar;;42834;266000
Balearica pavonina;140.0;9;78000;0;Animalia;Aves;Gruiformes;Gruidae;Balearica;pavonina;I;Benin,Burkina Faso,Cameroon,Central African Republic,Chad,Côte d'Ivoire,Democratic Republic of the Congo,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Kenya,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,South Sudan,Sudan,Togo,Uganda;;101932;83500
Trachypithecus pileatus;140.0;15;23500;0;Animalia;Mammalia;Primates;Cercopithecidae;Trachypithecus;pileatus;I;Bangladesh,Bhutan,India,Myanmar;;49875;270000
Saguinus geoffroyi;132.0;4;24100;0;Animalia;Mammalia;Primates;Cebidae;Saguinus;geoffroyi;I;Colombia,Costa Rica,Honduras,Panama;;43100;340000
Grus leucogeranus;123.0;24;38400;0;Animalia;Aves;Gruiformes;Gruidae;Grus;leucogeranus;I;Azerbaijan,China,India,Iran (Islamic Republic of),Kazakhstan,Mongolia,Pakistan,Russian Federation,Uzbekistan;;464038;39200
Probarbus jullieni;123.0;3;21200;0;Animalia;Actinopteri;Cypriniformes;Cyprinidae;Probarbus;jullieni;I;Cambodia,Lao People's Democratic Republic,Malaysia,Thailand,Viet Nam;;21392;21400
Cyclura stejnegeri;122.0;3;3010;0;Animalia;Reptilia;Sauria;Iguanidae;Cyclura;stejnegeri;I;Puerto Rico;;31265;3400
Caiman latirostris;122.0;5;79200;0;Animalia;Reptilia;Crocodylia;Alligatoridae;Caiman;latirostris;I/II;Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Uruguay;;80498;85300
