scientific_name;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution;views;hits_renew
Physeter macrocephalus;264130.0;18;323000;1;Animalia;Mammalia;Cetacea;Physeteridae;Physeter;macrocephalus;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bahamas,Belgium,Belize,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,Eritrea,Falkland Islands (Malvinas),Fiji,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Honduras,Iceland,India,Indonesia,Ireland,Italy,Japan,Kenya,Liberia,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Norway,Oman,Panama,Peru,Philippines,Portugal,Puerto Rico,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Sao Tome and Principe,Seychelles,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Thailand,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Yemen;;4912221;296000
Pongo pygmaeus;130683.0;55;482000;1;Animalia;Mammalia;Primates;Hominidae;Pongo;pygmaeus;I;Indonesia,Malaysia;Brunei Darussalam;897706;1350000
Leopardus pardalis;99307.0;26;255000;1;Animalia;Mammalia;Carnivora;Felidae;Leopardus;pardalis;I;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,Trinidad and Tobago,United States of America,Uruguay,Venezuela (Bolivarian Republic of);;3395426;287000
Manis tricuspis;63785.0;39;18500;0;Animalia;Mammalia;Pholidota;Manidae;Manis;tricuspis;I;Angola,Benin,Cameroon,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Kenya,Liberia,Nigeria,Rwanda,Sierra Leone,South Sudan,Togo,Uganda,Zambia;;211000;18000
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;;46671;582000
Struthio camelus;56181.0;35;622000;1;Animalia;Aves;Struthioniformes;Struthionidae;Struthio;camelus;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Djibouti,Egypt,Eritrea,Ethiopia,Kenya,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Algeria,Bahrain,Burkina Faso,Iraq,Israel,Jordan,Kuwait,Libya,Morocco,Oman,Saudi Arabia,Tunisia;1790066;601000
Crocodylus cataphractus;46795.0;12;18200;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;cataphractus;I;Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Mauritania,Nigeria,Senegal,Sierra Leone,Togo,United Republic of Tanzania,Zambia;;52345;18100
Chelonoidis niger;36485.0;30;23500;0;Animalia;Reptilia;Testudines;Testudinidae;Chelonoidis;niger;I;Ecuador;;1428763;16100
Varanus komodoensis;32629.0;36;324000;1;Animalia;Reptilia;Sauria;Varanidae;Varanus;komodoensis;I;Indonesia;;7318871;330000
Panthera leo;28213.0;84;2490000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;leo;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Eswatini,Ethiopia,Guinea,India,Kenya,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Afghanistan,Algeria,Burundi,Congo,Djibouti,Egypt,Eritrea,Gabon,Gambia,Greece,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kuwait,Lebanon,Lesotho,Libya,Mauritania,Morocco,Pakistan,Rwanda,Saudi Arabia,Sierra Leone,Syrian Arab Republic,Tunisia,Turkey,Western Sahara;13629976;2360000
Elephas maximus;25601.0;43;753000;1;Animalia;Mammalia;Proboscidea;Elephantidae;Elephas;maximus;I;Bangladesh,Bhutan,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Sri Lanka,Thailand,Viet Nam;;1840688;795000
Gorilla gorilla;23557.0;56;1250000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;gorilla;I;Angola,Cameroon,Central African Republic,Congo,Equatorial Guinea,Gabon,Nigeria;;702852;1500000
Diceros bicornis;23328.0;27;219000;1;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Diceros;bicornis;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Eritrea,Ethiopia,Kenya,Malawi,Mozambique,Namibia,Somalia,South Africa,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Burundi,Côte d'Ivoire,Democratic Republic of the Congo,Niger,Nigeria;1804035;273000
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland;4393175;7090000
Gorilla beringei;18142.0;79;233000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;beringei;I;Democratic Republic of the Congo,Rwanda,Uganda;;721145;789000
Rhinoplax vigil;17909.0;48;33500;0;Animalia;Aves;Coraciiformes;Bucerotidae;Rhinoplax;vigil;I;Brunei Darussalam,Indonesia,Malaysia,Myanmar,Thailand;Singapore;98643;32400
Pudu puda;17298.0;17;31700;0;Animalia;Mammalia;Artiodactyla;Cervidae;Pudu;puda;I;Argentina,Chile;;11663;34600
Manis crassicaudata;17161.0;51;30800;0;Animalia;Mammalia;Pholidota;Manidae;Manis;crassicaudata;I;Bangladesh,China,India,Nepal,Pakistan,Sri Lanka;;430551;29900
Piliocolobus kirkii;17083.0;10;13900;0;Animalia;Mammalia;Primates;Cercopithecidae;Piliocolobus;kirkii;I;United Republic of Tanzania;;99435;14000
Perameles bougainville;17079.0;91;14600;0;Animalia;Mammalia;Peramelemorphia;Peramelidae;Perameles;bougainville;I;Australia;;22511;17700
Acinonyx jubatus;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen;7032511;742000
Nilssonia nigricans;15106.0;20;8600;0;Animalia;Reptilia;Testudines;Trionychidae;Nilssonia;nigricans;I;Bangladesh,India;;358231;7700
Cacatua haematuropygia;14151.0;29;25400;0;Animalia;Aves;Psittaciformes;Cacatuidae;Cacatua;haematuropygia;I;Philippines;;91362;22500
Neophocaena asiaeorientalis;12924.0;29;34200;0;Animalia;Mammalia;Cetacea;Phocoenidae;Neophocaena;asiaeorientalis;I;China,Democratic People's Republic of Korea,Japan,Republic of Korea,Taiwan, Province of China;;9893;35100
Puma concolor;12604.0;84;883000;1;Animalia;Mammalia;Carnivora;Felidae;Puma;concolor;I/II;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,United States of America,Uruguay,Venezuela (Bolivarian Republic of);;7427753;873000
Ursus thibetanus;12592.0;66;165000;1;Animalia;Mammalia;Carnivora;Ursidae;Ursus;thibetanus;I;Afghanistan,Bangladesh,Bhutan,Cambodia,China,Democratic People's Republic of Korea,India,Iran (Islamic Republic of),Japan,Lao People's Democratic Republic,Mongolia,Myanmar,Nepal,Pakistan,Republic of Korea,Russian Federation,Taiwan, Province of China,Thailand,Viet Nam;;1163087;170000
Herpailurus yagouaroundi;12080.0;27;72600;0;Animalia;Mammalia;Carnivora;Felidae;Herpailurus;yagouaroundi;I/II;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,United States of America,Venezuela (Bolivarian Republic of);Uruguay;1092208;56900
Dermochelys coriacea;12078.0;69;326000;1;Animalia;Reptilia;Testudines;Dermochelyidae;Dermochelys;coriacea;I;Albania,Algeria,American Samoa,Angola,Anguilla (United Kingdom),Antigua and Barbuda,Argentina,Aruba,Australia,Bahamas,Bangladesh,Barbados,Belgium,Belize,Benin,Brazil,British Virgin Islands (United Kingdom),Brunei Darussalam,Cabo Verde,Cambodia,Cameroon,Canada,Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Fiji,France,French Guiana [FR],French Polynesia,Gabon,Gambia,Ghana,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kiribati,Kuwait,Lebanon,Liberia,Libya,Madagascar,Malaysia,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Montenegro,Montserrat (United Kingdom),Morocco,Mozambique,Myanmar,Namibia,Nauru,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Portugal,Puerto Rico,Qatar,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Sint Maarten,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Syrian Arab Republic,Taiwan, Province of China,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands (United Kingdom),Tuvalu,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Western Sahara,Yemen;;2067831;397000
Phocoena sinus;12070.0;47;84400;0;Animalia;Mammalia;Cetacea;Phocoenidae;Phocoena;sinus;I;Mexico;;1644979;93600
Sotalia fluviatilis;11909.0;14;48300;0;Animalia;Mammalia;Cetacea;Delphinidae;Sotalia;fluviatilis;I;Brazil,Colombia,Ecuador,Peru;;215385;50800
Strigops habroptila;11833.0;39;36800;0;Animalia;Aves;Psittaciformes;Psittacidae;Strigops;habroptila;I;New Zealand;;9349;35300
Megaptera novaeangliae;11403.0;33;767000;1;Animalia;Mammalia;Cetacea;Balaenopteridae;Megaptera;novaeangliae;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bangladesh,Barbados,Benin,Bermuda (United Kingdom),Bonaire, Saint Eustatius and Saba,Brazil,Cabo Verde,Canada,Chile,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Democratic People's Republic of Korea,Democratic Republic of the Congo,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Falkland Islands (Malvinas),Fiji,France,French Polynesia,French Southern and Antarctic Territories,Gabon,Ghana,Greenland,Grenada,Guadeloupe,Honduras,Iceland,India,Indonesia,Iraq,Ireland,Japan,Kenya,Madagascar,Malaysia,Malta,Marshall Islands,Martinique,Mauritania,Mayotte,Mexico,Morocco,Mozambique,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Pitcairn Islands (United Kingdom),Poland,Portugal,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Solomon Islands,South Africa,South Georgia and South Sandwich Islands (United Kingdom),Spain,Sri Lanka,Svalbard and Jan Mayen Islands,Taiwan, Province of China,Togo,Tonga,Trinidad and Tobago,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam;;2701228;787000
Bubalus mindorensis;11147.0;24;22200;0;Animalia;Mammalia;Artiodactyla;Bovidae;Bubalus;mindorensis;I;Philippines;;365111;24400
Haliaeetus albicilla;10964.0;37;692000;1;Animalia;Aves;Falconiformes;Accipitridae;Haliaeetus;albicilla;I;Afghanistan,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Bulgaria,China,Croatia,Cyprus,Czech Republic,Democratic People's Republic of Korea,Denmark,Egypt,Estonia,Faroe Islands,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,Iceland,India,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Malta,Mongolia,Montenegro,Myanmar,Nepal,Netherlands,North Macedonia,Norway,Pakistan,Poland,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Svalbard and Jan Mayen Islands,Sweden,Switzerland,Syrian Arab Republic,Taiwan, Province of China,Tajikistan,Thailand,Tunisia,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan;Algeria,Portugal;886784;512000
Rhinoceros unicornis;10799.0;92;163000;1;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Rhinoceros;unicornis;I;Bhutan,India,Myanmar,Nepal;Bangladesh,Pakistan;1560505;175000
Balaenoptera musculus;10687.0;23;444000;1;Animalia;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;I;Angola,Antarctica,Argentina,Australia,Bangladesh,Belgium,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Chile,Costa Rica,Democratic People's Republic of Korea,Denmark,Ecuador,El Salvador,Falkland Islands (Malvinas),Finland,France,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Greece,Greenland,Honduras,Iceland,India,Indonesia,Iraq,Ireland,Italy,Japan,Kenya,Kuwait,Maldives,Mauritania,Mexico,Morocco,Mozambique,Myanmar,Namibia,New Caledonia,New Zealand,Nicaragua,Norway,Oman,Pakistan,Panama,Peru,Portugal,Republic of Korea,Russian Federation,Somalia,South Africa,South Georgia and South Sandwich Islands (United Kingdom),Spain,Sri Lanka,Svalbard and Jan Mayen Islands,Taiwan, Province of China,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Viet Nam;;8733630;475000
Pongo abelii;10595.0;32;260000;1;Animalia;Mammalia;Primates;Hominidae;Pongo;abelii;I;Indonesia;;631168;316000
Bettongia penicillata;10560.0;33;25900;0;Animalia;Mammalia;Diprotodontia;Potoroidae;Bettongia;penicillata;I;Australia;;88270;28000
Neophema chrysogaster;9980.0;61;24800;0;Animalia;Aves;Psittaciformes;Psittacidae;Neophema;chrysogaster;I;Australia;;104458;24300
Ursus arctos;9567.0;49;2100000;1;Animalia;Mammalia;Carnivora;Ursidae;Ursus;arctos;I/II;Afghanistan,Albania,Armenia,Austria,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Greece,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Japan,Kazakhstan,Kyrgyzstan,Latvia,Lebanon,Mexico,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Pakistan,Poland,Romania,Russian Federation,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan;Belgium,Denmark,Germany,Jordan,Liechtenstein,Lithuania,Netherlands,Portugal,Switzerland;6925285;1940000
Chlamydotis undulata;9375.0;34;57700;0;Animalia;Aves;Gruiformes;Otididae;Chlamydotis;undulata;I;Afghanistan,Algeria,Armenia,Azerbaijan,Bahrain,China,Egypt,India,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Libya,Mauritania,Mongolia,Morocco,Oman,Pakistan,Portugal,Russian Federation,Saudi Arabia,Spain,Switzerland,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,United Arab Emirates,Uzbekistan,Western Sahara,Yemen;;269830;73100
Panthera tigris;9358.0;63;2380000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;tigris;I;Afghanistan,Bangladesh,Bhutan,Cambodia,China,Democratic People's Republic of Korea,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Russian Federation,Thailand,Viet Nam;Georgia,Iran (Islamic Republic of),Iraq,Kazakhstan,Kyrgyzstan,Pakistan,Republic of Korea,Singapore,Tajikistan,Turkey,Turkmenistan,Uzbekistan;13092049;2300000
Phoebastria albatrus;9278.0;61;27400;0;Animalia;Aves;Procellariiformes;Diomedeidae;Phoebastria;albatrus;I;Canada,China,Democratic People's Republic of Korea,Japan,Marshall Islands,Mexico,Micronesia (Federated States of),Republic of Korea,Russian Federation,Taiwan, Province of China,United States of America;;92567;25600
Loxodonta africana;9265.0;56;1330000;1;Animalia;Mammalia;Proboscidea;Elephantidae;Loxodonta;africana;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Ghana,Guinea,Guinea Bissau,Kenya,Liberia,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Burundi,Djibouti,Eswatini,Gambia,Mauritania;1464289;1510000
Antilocapra americana;9214.0;36;177000;1;Animalia;Mammalia;Artiodactyla;Antilocapridae;Antilocapra;americana;I;Canada,Mexico,United States of America;;2154812;234000
Caretta caretta;9155.0;36;2100000;1;Animalia;Reptilia;Testudines;Cheloniidae;Caretta;caretta;I;Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Bahamas,Bahrain,Bangladesh,Belgium,Belize,Bonaire, Saint Eustatius and Saba,Brazil,British Virgin Islands (United Kingdom),Cabo Verde,Cameroon,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Democratic People's Republic of Korea,Denmark,Djibouti,Dominica,Dominican Republic,Egypt,Eritrea,Fiji,France,French Guiana [FR],Gambia,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Lebanon,Liberia,Libya,Madagascar,Malta,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Monaco,Montenegro,Montserrat (United Kingdom),Morocco,Mozambique,Myanmar,Netherlands,Netherlands Antilles,New Caledonia,Nicaragua,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Réunion,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Sint Maarten,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Syrian Arab Republic,Taiwan, Province of China,Tonga,Trinidad and Tobago,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands (United Kingdom),United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Western Sahara,Yemen;;1071550;2190000
Tremarctos ornatus;8990.0;54;159000;1;Animalia;Mammalia;Carnivora;Ursidae;Tremarctos;ornatus;I;Bolivia (Plurinational State of),Colombia,Ecuador,Peru,Venezuela (Bolivarian Republic of);;1090383;167000
Equus africanus;8960.0;31;156000;1;Animalia;Mammalia;Perissodactyla;Equidae;Equus;africanus;I;Chad,Djibouti,Eritrea,Ethiopia,Somalia,Sudan;Egypt;568234;162000
Alligator sinensis;8409.0;33;81300;0;Animalia;Reptilia;Crocodylia;Alligatoridae;Alligator;sinensis;I;China;;687493;75200
Incilius periglenes;8384.0;21;12000;0;Animalia;Amphibia;Anura;Bufonidae;Incilius;periglenes;I;;Costa Rica;458147;11300
Pardofelis marmorata;8321.0;60;44500;0;Animalia;Mammalia;Carnivora;Felidae;Pardofelis;marmorata;I;Brunei Darussalam,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Thailand,Viet Nam;;283970;47400
Manis temminckii;8240.0;47;17300;0;Animalia;Mammalia;Pholidota;Manidae;Manis;temminckii;I;Angola,Botswana,Central African Republic,Chad,Eswatini,Ethiopia,Kenya,Lesotho,Malawi,Mozambique,Namibia,Rwanda,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;;175010;16500
Acipenser sturio;8133.0;43;96400;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;I;Albania,Algeria,Belgium,Bulgaria,Croatia,Estonia,France,Georgia,Germany,Greece,Iceland,Ireland,Italy,Latvia,Lithuania,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Spain,Sweden,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland;Czech Republic,Denmark;108921;103000
Branta sandvicensis;8120.0;60;54500;0;Animalia;Aves;Anseriformes;Anatidae;Branta;sandvicensis;I;United States of America;;557187;52900
Eschrichtius robustus;8067.0;59;143000;1;Animalia;Mammalia;Cetacea;Eschrichtiidae;Eschrichtius;robustus;I;Canada,China,Democratic People's Republic of Korea,Japan,Mexico,Republic of Korea,Russian Federation,United States of America;;842594;150000
Manis gigantea;7874.0;50;13300;0;Animalia;Mammalia;Pholidota;Manidae;Manis;gigantea;I;Angola,Cameroon,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Kenya,Liberia,Niger,Rwanda,Senegal,Sierra Leone,Uganda;;295614;15300
Manis javanica;7803.0;39;103000;0;Animalia;Mammalia;Pholidota;Manidae;Manis;javanica;I;Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Singapore,Thailand,Viet Nam;;225282;109000
Rhinoceros sondaicus;7666.0;42;88700;0;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Rhinoceros;sondaicus;I;Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Thailand,Viet Nam;Bangladesh;883666;94000
Pezoporus wallicus;7483.0;42;61100;0;Animalia;Aves;Psittaciformes;Psittacidae;Pezoporus;wallicus;I;Australia;;31363;44500
Neofelis diardi;7479.0;61;37600;0;Animalia;Mammalia;Carnivora;Felidae;Neofelis;diardi;I;Brunei Darussalam,Indonesia,Malaysia,Singapore;;336023;34600
Cacatua goffiniana;7469.0;12;21200;0;Animalia;Aves;Psittaciformes;Cacatuidae;Cacatua;goffiniana;I;Indonesia,Solomon Islands;;97300;32200
Leopardus tigrinus;7437.0;27;77300;0;Animalia;Mammalia;Carnivora;Felidae;Leopardus;tigrinus;I;Argentina,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,French Guiana [FR],Guyana,Panama,Peru,Suriname,Venezuela (Bolivarian Republic of);;313062;75100
Tapirus bairdii;7386.0;46;94300;0;Animalia;Mammalia;Perissodactyla;Tapiridae;Tapirus;bairdii;I;Belize,Colombia,Costa Rica,Ecuador,Guatemala,Honduras,Mexico,Nicaragua,Panama;El Salvador;235764;109000
Pithecophaga jefferyi;7112.0;35;77600;0;Animalia;Aves;Falconiformes;Accipitridae;Pithecophaga;jefferyi;I;Philippines;;1555551;85900
Semnopithecus hector;7078.0;19;6710;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;hector;I;India,Nepal;;20112;8310
Pygathrix nemaeus;6623.0;61;49000;0;Animalia;Mammalia;Primates;Cercopithecidae;Pygathrix;nemaeus;I;Lao People's Democratic Republic,Viet Nam;;146442;308000
Ceratotherium simum;6290.0;62;327000;1;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Ceratotherium;simum;I;Democratic Republic of the Congo,South Africa,South Sudan;Angola,Central African Republic,Chad,Eswatini,Mozambique,Namibia,Uganda,Zimbabwe;2221363;349000
Bos sauveli;6101.0;13;20500;0;Animalia;Mammalia;Artiodactyla;Bovidae;Bos;sauveli;I;;;214461;24600
Orcaella brevirostris;6051.0;52;71000;0;Animalia;Mammalia;Cetacea;Delphinidae;Orcaella;brevirostris;I;Australia,Bangladesh,Brunei Darussalam,Cambodia,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Papua New Guinea,Philippines,Singapore,Thailand,Viet Nam;;475215;66100
