scientific_name;GPE;GPE
Ailuropoda melanoleuca;Shenzhen;4
Ailuropoda melanoleuca;Sichuan Province;4
Ailuropoda melanoleuca;US;4
Ailuropoda melanoleuca;china;4
Ailuropoda melanoleuca;Fenghuang;3
Ailuropoda melanoleuca;Hong Kong;3
Ailuropoda melanoleuca;Myanmar;3
Ailuropoda melanoleuca;shanghai;3
Ailuropoda melanoleuca;Bhutan;2
Ailuropoda melanoleuca;Guangdong;2
Ailuropoda melanoleuca;Hunan Province;2
Ailuropoda melanoleuca;Kobe;2
Ailuropoda melanoleuca;Nepal;2
Ailuropoda melanoleuca;Sichuan province;2
Ailuropoda melanoleuca;USA;2
Ailuropoda melanoleuca;Virginia;2
Ailuropoda melanoleuca;Yellowstone;2
Ailuropoda melanoleuca;AUSTIN;1
Ailuropoda melanoleuca;Atlanta;1
Ailuropoda melanoleuca;Australasia;1
Ailuropoda melanoleuca;Austria;1
Ailuropoda melanoleuca;Brazil;1
Ailuropoda melanoleuca;Canada;1
Ailuropoda melanoleuca;Cardiff;1
Ailuropoda melanoleuca;Chongqing;1
Ailuropoda melanoleuca;Dongtan;1
Ailuropoda melanoleuca;Dulles;1
Ailuropoda melanoleuca;Fenghuang County;1
Ailuropoda melanoleuca;Graz;1
Ailuropoda melanoleuca;Haizi;1
Ailuropoda melanoleuca;Hanzhong;1
Ailuropoda melanoleuca;Hong Kongers;1
Ailuropoda melanoleuca;Hyogo Prefecture;1
Ailuropoda melanoleuca;Japan;1
Ailuropoda melanoleuca;Jiajiazai;1
Ailuropoda melanoleuca;Laos;1
Ailuropoda melanoleuca;Lutyens Delhi;1
Ailuropoda melanoleuca;Luxembourg;1
Ailuropoda melanoleuca;Madison;1
Ailuropoda melanoleuca;Melbourne;1
Ailuropoda melanoleuca;Mianyang;1
Ailuropoda melanoleuca;Netherlands;1
Ailuropoda melanoleuca;New Area;1
Ailuropoda melanoleuca;New Town;1
Ailuropoda melanoleuca;PRC;1
Ailuropoda melanoleuca;Pudong;1
Ailuropoda melanoleuca;Russia;1
Ailuropoda melanoleuca;Senegal;1
Ailuropoda melanoleuca;Shanghai;1
Ailuropoda melanoleuca;Sichuan;1
Ailuropoda melanoleuca;South Korea;1
Ailuropoda melanoleuca;Texas;1
Ailuropoda melanoleuca;Tianshui;1
Ailuropoda melanoleuca;U.S.-China;1
Ailuropoda melanoleuca;Vietnam;1
Ailuropoda melanoleuca;Washington D.C.;1
Ailuropoda melanoleuca;Wuhan;1
Ailuropoda melanoleuca;Ya’an;1
Ailuropoda melanoleuca;Yinping village;1
Ailuropoda melanoleuca;Yosemite;1
Ailuropoda melanoleuca;Yugoslavia;1
Ailuropoda melanoleuca;central chengdu;1
Ailuropoda melanoleuca;dujiangyan;1
Ailuropoda melanoleuca;france;1
Ailuropoda melanoleuca;london;1
Ailuropoda melanoleuca;taiwan;1
Ailuropoda melanoleuca;wuzhen;1
Anoxypristis cuspidata;Australia;35
Anoxypristis cuspidata;Costa Rica;23
Anoxypristis cuspidata;Bangladesh;15
Anoxypristis cuspidata;Queensland;13
Anoxypristis cuspidata;India;12
Anoxypristis cuspidata;China;6
Anoxypristis cuspidata;Nicaragua;6
Anoxypristis cuspidata;Borneo;5
Anoxypristis cuspidata;Canada;5
Anoxypristis cuspidata;MT;5
Anoxypristis cuspidata;Malaysia;5
Anoxypristis cuspidata;New Caledonia;5
Anoxypristis cuspidata;Papua New Guinea;5
Anoxypristis cuspidata;Indonesia;4
Anoxypristis cuspidata;Koumac;4
Anoxypristis cuspidata;Raichu;4
Anoxypristis cuspidata;Spain;4
Anoxypristis cuspidata;Sydney;4
Anoxypristis cuspidata;Toronto;4
Anoxypristis cuspidata;Truro;4
Anoxypristis cuspidata;Vancouver;4
Anoxypristis cuspidata;Costa Rica's;3
Anoxypristis cuspidata;Florida;3
Anoxypristis cuspidata;Guatemala;3
Anoxypristis cuspidata;Himantura;3
Anoxypristis cuspidata;Morocco;3
Anoxypristis cuspidata;Pikachu;3
Anoxypristis cuspidata;U.S.;3
Anoxypristis cuspidata;UK;3
Anoxypristis cuspidata;US;3
Anoxypristis cuspidata;B.C.;2
Anoxypristis cuspidata;Bintulu;2
Anoxypristis cuspidata;Brazil;2
Anoxypristis cuspidata;Chinchilla;2
Anoxypristis cuspidata;Cocos Island;2
Anoxypristis cuspidata;Cooktown;2
Anoxypristis cuspidata;Costa del Sol;2
Anoxypristis cuspidata;El Salvador;2
Anoxypristis cuspidata;Greenland;2
Anoxypristis cuspidata;Honduras;2
Anoxypristis cuspidata;Kalimantan;2
Anoxypristis cuspidata;Mexico;2
Anoxypristis cuspidata;Mérida;2
Anoxypristis cuspidata;NSW;2
Anoxypristis cuspidata;Perth;2
Anoxypristis cuspidata;SPAIN;2
Anoxypristis cuspidata;Santa Barbara;2
Anoxypristis cuspidata;Sudan;2
Anoxypristis cuspidata;arowana;2
Anoxypristis cuspidata;dorado;2
Anoxypristis cuspidata;the United States;2
Anoxypristis cuspidata;AMCS;1
Anoxypristis cuspidata;Angola;1
Anoxypristis cuspidata;Arbok;1
